DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
0--10.4452 , 78 , 85 , 117 , 145 , 211 , 241 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.24359) [1,2] " , " (3.95) [3,4] " , " (1282.95) [750,1300] " , " (2.78333) [1,3] " , " (161.625) [50,455] " , " (1.66667) [1,2] " , " (2609.36) [1000,4000] " , " (3.83692) [0,7] " , " (2115.55) [2000,2350] " , " (1.26667) [1,2] " , " (22.3669) [15,30] " , " (8.66) [11,18] " , " (2.09314) [2,4] " , " (1) [1,2] " , " (8.7) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (163.96) [150,800] " , " (2) [1,2] " , " (2) [1,2] "
0--10.4452 , 78 , 85 , 121 , 145 , 211 , 241 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.24359) [1,2] " , " (3.65) [3,4] " , " (1278.45) [750,1300] " , " (2.66667) [1,3] " , " (124.225) [50,455] " , " (1.66667) [1,2] " , " (2570.15) [1000,4000] " , " (3.59692) [0,7] " , " (2110.07) [2000,2350] " , " (1.26667) [1,2] " , " (28.2578) [15,30] " , " (8.16) [11,18] " , " (2.09314) [2,4] " , " (1.57143) [1,2] " , " (8.7) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (146.669) [150,800] " , " (1) [1,2] " , " (2) [1,2] "
0--10.4452 , 78 , 85 , 128 , 145 , 211 , 241 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.24359) [1,2] " , " (3.65) [3,4] " , " (1278.45) [750,1300] " , " (2.93333) [1,3] " , " (124.225) [50,455] " , " (1.66667) [1,2] " , " (2609.41) [1000,4000] " , " (3.59692) [0,7] " , " (2080.13) [2000,2350] " , " (1.26667) [1,2] " , " (24.2897) [15,30] " , " (8.16) [11,18] " , " (2.09314) [2,4] " , " (1.28571) [1,2] " , " (8.7) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (167.63) [150,800] " , " (1) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 121 , 145 , 214 , 242 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.35) [3,4] " , " (1168.98) [750,1300] " , " (2.90833) [1,3] " , " (192.968) [50,455] " , " (1.35) [1,2] " , " (3480.76) [1000,4000] " , " (4.18) [0,7] " , " (2147.74) [2000,2350] " , " (2) [1,2] " , " (27.666) [15,30] " , " (11.3217) [11,18] " , " (3.2) [2,4] " , " (1.57143) [1,2] " , " (8) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (275.036) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 118 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1173.18) [750,1300] " , " (2.85833) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3468.21) [1000,4000] " , " (2.68) [0,7] " , " (2171.78) [2000,2350] " , " (2) [1,2] " , " (22.7717) [15,30] " , " (11.9217) [11,18] " , " (3.7) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (290.196) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 125 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1174.08) [750,1300] " , " (2.95833) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3235.14) [1000,4000] " , " (2.68) [0,7] " , " (2171.68) [2000,2350] " , " (2) [1,2] " , " (22.3517) [15,30] " , " (11.5217) [11,18] " , " (3.7) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (291.916) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 129 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1198.38) [750,1300] " , " (2.575) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3467.61) [1000,4000] " , " (2.68) [0,7] " , " (2182.62) [2000,2350] " , " (2) [1,2] " , " (25.655) [15,30] " , " (11.7217) [11,18] " , " (3.7) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (274.017) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 131 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1198.38) [750,1300] " , " (2.585) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3467.51) [1000,4000] " , " (2.68) [0,7] " , " (2181.85) [2000,2350] " , " (2) [1,2] " , " (25.655) [15,30] " , " (11.7217) [11,18] " , " (3.7) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (274.017) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 132 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1171.08) [750,1300] " , " (2.85833) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3237.59) [1000,4000] " , " (2.68) [0,7] " , " (2172.07) [2000,2350] " , " (2) [1,2] " , " (24.1745) [15,30] " , " (11.6217) [11,18] " , " (3.7) [2,4] " , " (1.28571) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (279.966) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 133 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1174.08) [750,1300] " , " (2.95833) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3467.41) [1000,4000] " , " (2.68) [0,7] " , " (2170.58) [2000,2350] " , " (2) [1,2] " , " (22.3217) [15,30] " , " (11.5217) [11,18] " , " (3.7) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (284.936) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 118 , 145 , 235 , 242 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1244.73) [750,1300] " , " (2.85833) [1,3] " , " (190.143) [50,455] " , " (1.35) [1,2] " , " (3534.81) [1000,4000] " , " (2.58) [0,7] " , " (2206.78) [2000,2350] " , " (2) [1,2] " , " (22.0717) [15,30] " , " (11.9217) [11,18] " , " (3.2) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (283.646) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
