DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 66 , 95 , 119 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (2) [1,2] " , " (3.1) [3,4] " , " (742.058) [42000,72800] " , " (2.06667) [1,3] " , " (232.633) [50,455] " , " (1.5) [1,2] " , " (2575.81) [1000,4000] " , " (3.08) [0,7] " , " (2120.27) [2000,2350] " , " (1.33333) [1,2] " , " (23.7623) [15,30] " , " (11.945) [616,1008] " , " (2.66) [2,4] " , " (1.16) [1,2] " , " (8.9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (140.637) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
2 , 66 , 95 , 119 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (2) [1,2] " , " (3.1) [3,4] " , " (742.058) [42000,72800] " , " (2.06667) [1,3] " , " (232.633) [50,455] " , " (1.5) [1,2] " , " (2575.81) [1000,4000] " , " (3.08) [0,7] " , " (2120.27) [2000,2350] " , " (1.33333) [1,2] " , " (23.7623) [15,30] " , " (11.945) [616,1008] " , " (2.66) [2,4] " , " (1.16) [1,2] " , " (8.9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (140.637) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
3 , 72 , 86 , 124 , 180 , 192 , 294 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.9) [3,4] " , " (782.38) [42000,72800] " , " (2.75) [1,3] " , " (226.225) [50,455] " , " (1.5) [1,2] " , " (2865.63) [1000,4000] " , " (5.22) [0,7] " , " (2189.23) [2000,2350] " , " (2) [1,2] " , " (25.9573) [15,30] " , " (10.405) [616,1008] " , " (2.66) [2,4] " , " (1) [1,2] " , " (8.1) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (241.257) [8400,44800] " , " (1.25) [1,2] " , " (1) [1,2] "
4 , 24 , 95 , 117 , 175 , 192 , 286 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1.66667) [1,2] " , " (3.9) [3,4] " , " (857.483) [42000,72800] " , " (2.43333) [1,3] " , " (272.933) [50,455] " , " (1.5) [1,2] " , " (3060.04) [1000,4000] " , " (4.92) [0,7] " , " (2276.43) [2000,2350] " , " (1.33333) [1,2] " , " (25.1017) [15,30] " , " (13.75) [616,1008] " , " (3) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1.4) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (136.508) [8400,44800] " , " (1.25) [1,2] " , " (2) [1,2] "
5 , 78 , 85 , 117 , 145 , 211 , 241 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.24359) [1,2] " , " (3.95) [3,4] " , " (1282.95) [42000,72800] " , " (2.78333) [1,3] " , " (161.625) [50,455] " , " (1.66667) [1,2] " , " (2609.36) [1000,4000] " , " (3.83692) [0,7] " , " (2115.55) [2000,2350] " , " (1.26667) [1,2] " , " (22.3669) [15,30] " , " (8.66) [616,1008] " , " (2.09314) [2,4] " , " (1) [1,2] " , " (8.7) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (163.96) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
6 , 20 , 84 , 131 , 181 , 227 , 246 , " (0) [0,1] " , " (3.46667) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (1192.88) [42000,72800] " , " (1.46) [1,3] " , " (225.835) [50,455] " , " (1.5) [1,2] " , " (3408.7) [1000,4000] " , " (5.7) [0,7] " , " (2250.45) [2000,2350] " , " (1.66667) [1,2] " , " (28.0833) [15,30] " , " (10.7667) [616,1008] " , " (2.66667) [2,4] " , " (2) [1,2] " , " (8.4) [8,9] " , " (1.85) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (84.4333) [8400,44800] " , " (1.5) [1,2] " , " (1.76667) [1,2] "
7 , 78 , 81 , 130 , 137 , 235 , 286 , " (0) [0,1] " , " (3) [3,4] " , " (1.5) [1,2] " , " (3) [3,4] " , " (749.667) [42000,72800] " , " (2.95) [1,3] " , " (296.767) [50,455] " , " (2) [1,2] " , " (3280.74) [1000,4000] " , " (2.7) [0,7] " , " (2167.55) [2000,2350] " , " (1) [1,2] " , " (23.2623) [15,30] " , " (8.17333) [616,1008] " , " (2.64608) [2,4] " , " (1) [1,2] " , " (8.2) [8,9] " , " (1.5) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (116.751) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
8 , 11 , 107 , 119 , 160 , 226 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (1) [1,2] " , " (4) [3,4] " , " (881.575) [42000,72800] " , " (2.61667) [1,3] " , " (437.225) [50,455] " , " (2) [1,2] " , " (3064.61) [1000,4000] " , " (5.2) [0,7] " , " (2027.75) [2000,2350] " , " (1) [1,2] " , " (25.8367) [15,30] " , " (11.8917) [616,1008] " , " (3.08333) [2,4] " , " (1.25) [1,2] " , " (8.5) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (176.497) [8400,44800] " , " (1.5) [1,2] " , " (1.75) [1,2] "
9 , 66 , 95 , 119 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (2) [1,2] " , " (3.1) [3,4] " , " (742.058) [42000,72800] " , " (2.06667) [1,3] " , " (232.633) [50,455] " , " (1.5) [1,2] " , " (2575.81) [1000,4000] " , " (3.08) [0,7] " , " (2120.27) [2000,2350] " , " (1.33333) [1,2] " , " (23.7623) [15,30] " , " (11.945) [616,1008] " , " (2.66) [2,4] " , " (1.16) [1,2] " , " (8.9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (140.637) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
10 , 78 , 114 , 130 , 145 , 235 , 284 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.75) [3,4] " , " (941.767) [42000,72800] " , " (2.775) [1,3] " , " (162.567) [50,455] " , " (2) [1,2] " , " (2610.51) [1000,4000] " , " (2.5) [0,7] " , " (2006.59) [2000,2350] " , " (2) [1,2] " , " (22.4619) [15,30] " , " (11.3933) [616,1008] " , " (2.49314) [2,4] " , " (1) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (144.788) [8400,44800] " , " (1) [1,2] " , " (2) [1,2] "
