DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 20 , 84 , 131 , 181 , 227 , 246 , " (0) [0,1] " , " (3.46667) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (1192.88) [42000,72800] " , " (1.46) [1,3] " , " (225.835) [50,455] " , " (1.5) [1,2] " , " (3408.7) [1000,4000] " , " (5.7) [0,7] " , " (2250.45) [2000,2350] " , " (1.66667) [1,2] " , " (28.0833) [15,30] " , " (10.7667) [616,1008] " , " (2.66667) [2,4] " , " (2) [1,2] " , " (8.4) [8,9] " , " (1.85) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (84.4333) [8400,44800] " , " (1.5) [1,2] " , " (1.76667) [1,2] "
2 , 18 , 92 , 132 , 137 , 214 , 260 , " (0) [0,1] " , " (3) [3,4] " , " (2) [1,2] " , " (3.6) [3,4] " , " (925.467) [42000,72800] " , " (2.06667) [1,3] " , " (243.878) [50,455] " , " (2) [1,2] " , " (2024.51) [1000,4000] " , " (4.88) [0,7] " , " (2171.46) [2000,2350] " , " (1) [1,2] " , " (26.8599) [15,30] " , " (11.25) [616,1008] " , " (2.35294) [2,4] " , " (1.28571) [1,2] " , " (8.55) [8,9] " , " (1.75) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (150.144) [8400,44800] " , " (2) [1,2] " , " (1.86667) [1,2] "
3 , 8 , 96 , 130 , 177 , 235 , 254 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.25) [3,4] " , " (1361.54) [42000,72800] " , " (2.83333) [1,3] " , " (411.917) [50,455] " , " (2) [1,2] " , " (1567.35) [1000,4000] " , " (4.1) [0,7] " , " (2052.69) [2000,2350] " , " (1.66667) [1,2] " , " (27.1264) [15,30] " , " (12.105) [616,1008] " , " (2.25196) [2,4] " , " (1.5) [1,2] " , " (8.85) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (237.659) [8400,44800] " , " (1.25) [1,2] " , " (1.5) [1,2] "
4 , 66 , 95 , 119 , 175 , 192 , 274 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1.33333) [1,2] " , " (3.1) [3,4] " , " (780.108) [42000,72800] " , " (2.06667) [1,3] " , " (236.108) [50,455] " , " (1.5) [1,2] " , " (2584.54) [1000,4000] " , " (2.78) [0,7] " , " (2105.2) [2000,2350] " , " (1.33333) [1,2] " , " (23.7623) [15,30] " , " (11.945) [616,1008] " , " (2.66) [2,4] " , " (1.16) [1,2] " , " (8.9) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (140.637) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
5 , 21 , 84 , 125 , 180 , 217 , 246 , " (1) [0,1] " , " (3.96667) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (946.483) [42000,72800] " , " (1.58333) [1,3] " , " (369.36) [50,455] " , " (1.5) [1,2] " , " (3229.02) [1000,4000] " , " (5.91667) [0,7] " , " (2192.17) [2000,2350] " , " (1.66667) [1,2] " , " (23.8967) [15,30] " , " (10.7883) [616,1008] " , " (4) [2,4] " , " (1.5) [1,2] " , " (8.25) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (70.9783) [8400,44800] " , " (1.75) [1,2] " , " (1.1) [1,2] "
6 , 11 , 111 , 124 , 151 , 235 , 277 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (4) [3,4] " , " (892.73) [42000,72800] " , " (2.58667) [1,3] " , " (443.66) [50,455] " , " (1) [1,2] " , " (2892.11) [1000,4000] " , " (2.3) [0,7] " , " (2044.11) [2000,2350] " , " (1.33333) [1,2] " , " (29.6917) [15,30] " , " (12.2633) [616,1008] " , " (2.16667) [2,4] " , " (1.75) [1,2] " , " (8.25) [8,9] " , " (1.2) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (294.932) [8400,44800] " , " (2) [1,2] " , " (1.6) [1,2] "
7 , 78 , 85 , 121 , 145 , 211 , 241 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.24359) [1,2] " , " (3.65) [3,4] " , " (1278.45) [42000,72800] " , " (2.66667) [1,3] " , " (124.225) [50,455] " , " (1.66667) [1,2] " , " (2570.15) [1000,4000] " , " (3.59692) [0,7] " , " (2110.07) [2000,2350] " , " (1.26667) [1,2] " , " (28.2578) [15,30] " , " (8.16) [616,1008] " , " (2.09314) [2,4] " , " (1.57143) [1,2] " , " (8.7) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (146.669) [8400,44800] " , " (1) [1,2] " , " (2) [1,2] "
8 , 2 , 96 , 134 , 163 , 192 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (939.1) [42000,72800] " , " (2.56667) [1,3] " , " (436.867) [50,455] " , " (1) [1,2] " , " (1976.53) [1000,4000] " , " (4.6) [0,7] " , " (2116.47) [2000,2350] " , " (1) [1,2] " , " (26.8025) [15,30] " , " (19.3) [616,1008] " , " (2.95833) [2,4] " , " (1.5) [1,2] " , " (8) [8,9] " , " (1.9) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (263.534) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
9 , 20 , 84 , 133 , 181 , 227 , 246 , " (0) [0,1] " , " (3.46667) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (1168.58) [42000,72800] " , " (1.83333) [1,3] " , " (225.835) [50,455] " , " (1.5) [1,2] " , " (3408.6) [1000,4000] " , " (5.7) [0,7] " , " (2239.18) [2000,2350] " , " (1.66667) [1,2] " , " (24.75) [15,30] " , " (10.5667) [616,1008] " , " (2.66667) [2,4] " , " (1.5) [1,2] " , " (8.9) [8,9] " , " (1.85) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (95.3517) [8400,44800] " , " (1.5) [1,2] " , " (1.76667) [1,2] "
10 , 8 , 86 , 128 , 184 , 235 , 247 , " (0) [0,1] " , " (3.21667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (888.55) [42000,72800] " , " (2.91667) [1,3] " , " (452.85) [50,455] " , " (2) [1,2] " , " (2805.51) [1000,4000] " , " (3.09) [0,7] " , " (2178.48) [2000,2350] " , " (2) [1,2] " , " (26.7059) [15,30] " , " (11.86) [616,1008] " , " (2.18529) [2,4] " , " (1.78571) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (206.371) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
