DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 66 , 92 , 132 , 123 , 137 , 151 , 192 , 248 , " (0,0) [0,1] " , " (3.05,3.71667) [3,4] " , " (1,1) [1,2] " , " (3.45,3.11667) [3,4] " , " (950.21,961.11) [42000,72800] " , " (2.7,2.17) [1,3] " , " (307.595,335.962) [50,455] " , " (2,2) [1,2] " , " (2601.38,2643.2) [1000,4000] " , " (2.25,6.8) [0,7] " , " (2263.85,2194.03) [2000,2350] " , " (2,2) [1,2] " , " (28.4506,25.8323) [15,30] " , " (11.81,12.91) [616,1008] " , " (2.17961,2.32667) [2,4] " , " (1.94571,1.66) [1,2] " , " (8.65,8.15) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (135.111,126.985) [8400,44800] " , " (2,2) [1,2] " , " (1.7,1.7) [1,2] "
2 , 11 , 112 , 124 , 128 , 149 , 175 , 208 , 246 , " (0,0) [0,1] " , " (3.8,4.13333) [3,4] " , " (0.916667,0.916667) [1,2] " , " (3.33333,4.33333) [3,4] " , " (908.293,929.1) [42000,72800] " , " (2.8,1.36667) [1,3] " , " (448.795,437.052) [50,455] " , " (1.71429,1.5) [1,2] " , " (3259.77,3183.15) [1000,4000] " , " (5.94167,6.34167) [0,7] " , " (2157.75,2193.5) [2000,2350] " , " (1.6,1.6) [1,2] " , " (25.975,20.0595) [15,30] " , " (10.2086,12.13) [616,1008] " , " (2,3) [2,4] " , " (1.75,1.03571) [1,2] " , " (8.3,8.8) [8,9] " , " (2.05,2.05) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (107.625,111.658) [8400,44800] " , " (2,2) [1,2] " , " (1.6,1.6) [1,2] "
3 , 78 , 83 , 121 , 117 , 145 , 159 , 214 , 254 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (2,2) [1,2] " , " (3.2,3.5) [3,4] " , " (968.65,973.758) [42000,72800] " , " (3.13333,2.78333) [1,3] " , " (159.625,197.767) [50,455] " , " (1,1) [1,2] " , " (2842.87,2650.88) [1000,4000] " , " (4.76,5) [0,7] " , " (2136.36,2134.45) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (30.0361,22.8952) [15,30] " , " (8.30667,8.83167) [616,1008] " , " (3.0098,2.8098) [2,4] " , " (1.57143,1) [1,2] " , " (9.2,9.2) [8,9] " , " (1.25,1.25) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (73.8021,90.9037) [8400,44800] " , " (1,2) [1,2] " , " (2,2.08333) [1,2] "
4 , 21 , 86 , 130 , 117 , 181 , 184 , 206 , 260 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (2,2) [1,2] " , " (3.9,3.7) [3,4] " , " (787.55,735.933) [42000,72800] " , " (1.5,1.76667) [1,3] " , " (346.35,369.933) [50,455] " , " (1.5,2) [1,2] " , " (2671.76,2880.14) [1000,4000] " , " (6.02,3.76) [0,7] " , " (2131.8,2212.23) [2000,2350] " , " (1.66667,1.33333) [1,2] " , " (29.3433,29.2317) [15,30] " , " (11.1167,10.6) [616,1008] " , " (3.83333,4.03333) [2,4] " , " (1.5,1.5) [1,2] " , " (9,9.5) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (235.748,210.86) [8400,44800] " , " (1,2) [1,2] " , " (1,1) [1,2] "
5 , 18 , 99 , 117 , 118 , 149 , 156 , 218 , 246 , " (0,0) [0,1] " , " (2.8,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.3,3.5) [3,4] " , " (855.1,990.057) [42000,72800] " , " (2.65833,2.91667) [1,3] " , " (191.078,155.135) [50,455] " , " (1.71429,2) [1,2] " , " (2196.06,2160.03) [1000,4000] " , " (4.94,4.9) [0,7] " , " (2177.74,2228.85) [2000,2350] " , " (1.6,1.6) [1,2] " , " (25.0392,28.3433) [15,30] " , " (11.0736,10.995) [616,1008] " , " (2.5,3) [2,4] " , " (1,1) [1,2] " , " (8.8,8.8) [8,9] " , " (1.85,1.85) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (157.053,260.572) [8400,44800] " , " (1.75,1.25) [1,2] " , " (1.76667,1.76667) [1,2] "
6 , 11 , 115 , 128 , 131 , 137 , 163 , 234 , 254 , " (0,0) [0,1] " , " (3,3.66667) [3,4] " , " (2,2) [1,2] " , " (3.5,3.91667) [3,4] " , " (804.5,887.2) [42000,72800] " , " (3,2.87667) [1,3] " , " (437.625,459.892) [50,455] " , " (2,2) [1,2] " , " (2805.07,2541.91) [1000,4000] " , " (3.15,5.25) [0,7] " , " (2149.05,2191.79) [2000,2350] " , " (1,2) [1,2] " , " (30.4174,25.2783) [15,30] " , " (9.41,13.01) [616,1008] " , " (2.99461,3.76667) [2,4] " , " (2.03571,1.25) [1,2] " , " (9.3,8.8) [8,9] " , " (0.95,0.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (105.086,107.506) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
7 , 72 , 113 , 120 , 122 , 185 , 151 , 235 , 286 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.95,3.75) [3,4] " , " (659.893,667.58) [42000,72800] " , " (2.87667,2.60333) [1,3] " , " (325.91,303.11) [50,455] " , " (2,2) [1,2] " , " (3736.66,3969.98) [1000,4000] " , " (2.44,2.3) [0,7] " , " (2312.83,2445.33) [2000,2350] " , " (2,2) [1,2] " , " (21.997,30.2557) [15,30] " , " (9.49933,11.046) [616,1008] " , " (2.59333,2.49333) [2,4] " , " (1,2) [1,2] " , " (8.02333,8.39) [8,9] " , " (1,1) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (120.332,97.5797) [8400,44800] " , " (2,2) [1,2] " , " (2.1,2.1) [1,2] "
8 , 8 , 95 , 130 , 118 , 175 , 180 , 235 , 274 , " (0,1) [0,1] " , " (3.33333,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.6,3.6) [3,4] " , " (790.15,883.683) [42000,72800] " , " (2.18333,2.11667) [1,3] " , " (425.75,446.733) [50,455] " , " (1.5,1.5) [1,2] " , " (2157.74,1777.42) [1000,4000] " , " (2.18,4.48) [0,7] " , " (2061.29,2026.59) [2000,2350] " , " (2,1.66667) [1,2] " , " (26.323,25.0714) [15,30] " , " (12.75,9.55833) [616,1008] " , " (2.73529,1.73529) [2,4] " , " (1.5,1.5) [1,2] " , " (9,8.5) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (173.756,130.338) [8400,44800] " , " (1.75,2) [1,2] " , " (1.5,1.5) [1,2] "
9 , 11 , 94 , 129 , 131 , 181 , 160 , 228 , 283 , " (0,0) [0,1] " , " (3.06667,3.06667) [3,4] " , " (2,2) [1,2] " , " (4,4) [3,4] " , " (920.05,769.7) [42000,72800] " , " (1.61667,2.81) [1,3] " , " (463.875,424.325) [50,455] " , " (1.5,2) [1,2] " , " (3658.96,3661.31) [1000,4000] " , " (4.1,1.8) [0,7] " , " (2052.99,2084.51) [2000,2350] " , " (1.66667,1) [1,2] " , " (21.2408,24.0758) [15,30] " , " (13.3167,12.7) [616,1008] " , " (2.125,2.375) [2,4] " , " (1.25,1.25) [1,2] " , " (9,9.5) [8,9] " , " (0.95,0.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (151.557,149.222) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
10 , 66 , 84 , 125 , 121 , 143 , 160 , 192 , 267 , " (0,0) [0,1] " , " (4.16667,4.16667) [3,4] " , " (2,2) [1,2] " , " (4,3.5) [3,4] " , " (1091.05,1086.85) [42000,72800] " , " (2.51,3) [1,3] " , " (252.725,252.725) [50,455] " , " (2,2) [1,2] " , " (3959.3,3959.04) [1000,4000] " , " (2.6,2.4) [0,7] " , " (2350.27,2244.19) [2000,2350] " , " (1.5,1.5) [1,2] " , " (28.7373,24.8733) [15,30] " , " (11.72,11.62) [616,1008] " , " (3.32667,2.91) [2,4] " , " (1.66,1.23143) [1,2] " , " (8.4,7.9) [8,9] " , " (1.15,1.15) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (144.648,184.395) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
