DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 31 , 95 , 129 , 145 , 214 , 288 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.45) [3,4] " , " (994.576) [42000,72800] " , " (2.825) [1,3] " , " (176.476) [50,455] " , " (1.71429) [1,2] " , " (3225.27) [1000,4000] " , " (4.21) [0,7] " , " (2110.87) [2000,2350] " , " (2) [1,2] " , " (25.785) [15,30] " , " (10.1452) [616,1008] " , " (2.2) [2,4] " , " (1.5) [1,2] " , " (8) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (207.332) [8400,44800] " , " (1.75) [1,2] " , " (2) [1,2] "
2 , 29 , 96 , 118 , 152 , 235 , 248 , " (0) [0,1] " , " (3.21667) [3,4] " , " (1.07143) [1,2] " , " (3.26667) [3,4] " , " (783.55) [42000,72800] " , " (2.21667) [1,3] " , " (439.057) [50,455] " , " (1.6) [1,2] " , " (3375.46) [1000,4000] " , " (3.85571) [0,7] " , " (2082.75) [2000,2350] " , " (1.66667) [1,2] " , " (26.2633) [15,30] " , " (31.9967) [616,1008] " , " (2.83333) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (193.398) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
3 , 18 , 112 , 131 , 153 , 211 , 259 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (709.707) [42000,72800] " , " (1.99333) [1,3] " , " (165.008) [50,455] " , " (1.5) [1,2] " , " (2585.22) [1000,4000] " , " (6.53333) [0,7] " , " (2218.78) [2000,2350] " , " (1.6) [1,2] " , " (25.3657) [15,30] " , " (13.83) [616,1008] " , " (3) [2,4] " , " (1.07143) [1,2] " , " (8.8) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (243.81) [8400,44800] " , " (2) [1,2] " , " (1.66667) [1,2] "
4 , 11 , 88 , 133 , 143 , 207 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (1.5) [1,2] " , " (3.95) [3,4] " , " (1132.25) [42000,72800] " , " (2.57667) [1,3] " , " (453.325) [50,455] " , " (2) [1,2] " , " (3591.02) [1000,4000] " , " (2.21) [0,7] " , " (2191.06) [2000,2350] " , " (1.4) [1,2] " , " (27.9583) [15,30] " , " (13.3) [616,1008] " , " (2.16667) [2,4] " , " (1.75) [1,2] " , " (8.75) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (176.658) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
5 , 20 , 95 , 119 , 180 , 210 , 267 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.47619) [1,2] " , " (3.6) [3,4] " , " (1177.66) [42000,72800] " , " (1.33333) [1,3] " , " (211.342) [50,455] " , " (1.5) [1,2] " , " (2227.67) [1000,4000] " , " (5.85143) [0,7] " , " (2170) [2000,2350] " , " (1.83333) [1,2] " , " (28.873) [15,30] " , " (12.42) [616,1008] " , " (2.40196) [2,4] " , " (2) [1,2] " , " (8.65) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (180.899) [8400,44800] " , " (1) [1,2] " , " (1.91667) [1,2] "
6 , 8 , 99 , 124 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1) [1,2] " , " (4) [3,4] " , " (666.85) [42000,72800] " , " (2.85833) [1,3] " , " (398.15) [50,455] " , " (1.5) [1,2] " , " (1890.82) [1000,4000] " , " (2.3) [0,7] " , " (2125.34) [2000,2350] " , " (1.93333) [1,2] " , " (29.6989) [15,30] " , " (11.6833) [616,1008] " , " (2.73529) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (251.993) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
7 , 66 , 113 , 120 , 151 , 235 , 285 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1.66667) [1,2] " , " (3.35) [3,4] " , " (801.438) [42000,72800] " , " (2.44667) [1,3] " , " (258.01) [50,455] " , " (2) [1,2] " , " (2884.7) [1000,4000] " , " (2.57) [0,7] " , " (2238.71) [2000,2350] " , " (1) [1,2] " , " (25.8237) [15,30] " , " (12.5743) [616,1008] " , " (2.49333) [2,4] " , " (1.66) [1,2] " , " (8.22333) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (108.695) [8400,44800] " , " (2) [1,2] " , " (1.85) [1,2] "
8 , 78 , 85 , 117 , 145 , 211 , 241 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.24359) [1,2] " , " (3.95) [3,4] " , " (1282.95) [42000,72800] " , " (2.78333) [1,3] " , " (161.625) [50,455] " , " (1.66667) [1,2] " , " (2609.36) [1000,4000] " , " (3.83692) [0,7] " , " (2115.55) [2000,2350] " , " (1.26667) [1,2] " , " (22.3669) [15,30] " , " (8.66) [616,1008] " , " (2.09314) [2,4] " , " (1) [1,2] " , " (8.7) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (163.96) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
9 , 5 , 92 , 132 , 152 , 235 , 294 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.07143) [1,2] " , " (3.76667) [3,4] " , " (805.01) [42000,72800] " , " (2.48333) [1,3] " , " (267.537) [50,455] " , " (2) [1,2] " , " (2289.8) [1000,4000] " , " (4.26571) [0,7] " , " (2177.41) [2000,2350] " , " (1.66667) [1,2] " , " (28.2512) [15,30] " , " (14.1767) [616,1008] " , " (3) [2,4] " , " (1.78571) [1,2] " , " (8.25) [8,9] " , " (1.1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (190.942) [8400,44800] " , " (2) [1,2] " , " (1.2) [1,2] "
10 , 17 , 103 , 130 , 184 , 214 , 246 , " (0) [0,1] " , " (3.96667) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (955.467) [42000,72800] " , " (1.13333) [1,3] " , " (436.543) [50,455] " , " (2) [1,2] " , " (3297.91) [1000,4000] " , " (5.9) [0,7] " , " (2101.99) [2000,2350] " , " (1) [1,2] " , " (22.4087) [15,30] " , " (8.26333) [616,1008] " , " (3.80294) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (96.1625) [8400,44800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
