DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 66 , 92 , 136 , 185 , 235 , 285 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1.66667) [1,2] " , " (3.06667) [3,4] " , " (918.135) [10500,18200] " , " (2.53333) [1,3] " , " (366.387) [50,455] " , " (2) [1,2] " , " (2965.09) [1000,4000] " , " (6.69) [0,7] " , " (2250.92) [2000,2350] " , " (2) [1,2] " , " (21.118) [15,30] " , " (11.765) [154,252] " , " (2.42667) [2,4] " , " (1.23143) [1,2] " , " (8.55) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (143.455) [2100,11200] " , " (2) [1,2] " , " (1.95) [1,2] "
2 , 2 , 96 , 134 , 163 , 192 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (939.1) [10500,18200] " , " (2.56667) [1,3] " , " (436.867) [50,455] " , " (1) [1,2] " , " (1976.53) [1000,4000] " , " (4.6) [0,7] " , " (2116.47) [2000,2350] " , " (1) [1,2] " , " (26.8025) [15,30] " , " (19.3) [154,252] " , " (2.95833) [2,4] " , " (1.5) [1,2] " , " (8) [8,9] " , " (1.9) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (263.534) [2100,11200] " , " (2) [1,2] " , " (1.5) [1,2] "
3 , 20 , 84 , 118 , 181 , 227 , 246 , " (0) [0,1] " , " (3.46667) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (1167.68) [10500,18200] " , " (1.73333) [1,3] " , " (225.835) [50,455] " , " (1.5) [1,2] " , " (3409.4) [1000,4000] " , " (5.7) [0,7] " , " (2240.38) [2000,2350] " , " (1.66667) [1,2] " , " (25.2) [15,30] " , " (10.9667) [154,252] " , " (2.66667) [2,4] " , " (1.5) [1,2] " , " (8.9) [8,9] " , " (1.85) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (100.612) [2100,11200] " , " (1.5) [1,2] " , " (1.76667) [1,2] "
4 , 31 , 95 , 129 , 145 , 214 , 288 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.45) [3,4] " , " (994.576) [10500,18200] " , " (2.825) [1,3] " , " (176.476) [50,455] " , " (1.71429) [1,2] " , " (3225.27) [1000,4000] " , " (4.21) [0,7] " , " (2110.87) [2000,2350] " , " (2) [1,2] " , " (25.785) [15,30] " , " (10.1452) [154,252] " , " (2.2) [2,4] " , " (1.5) [1,2] " , " (8) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (207.332) [2100,11200] " , " (1.75) [1,2] " , " (2) [1,2] "
5 , 11 , 107 , 130 , 149 , 218 , 283 , " (0) [0,1] " , " (3.4) [3,4] " , " (1) [1,2] " , " (3.33333) [3,4] " , " (771.56) [10500,18200] " , " (1.98333) [1,3] " , " (411.335) [50,455] " , " (1.71429) [1,2] " , " (3113.55) [1000,4000] " , " (2.7) [0,7] " , " (2033.08) [2000,2350] " , " (1.33333) [1,2] " , " (25.2883) [15,30] " , " (11.4869) [154,252] " , " (3) [2,4] " , " (1.75) [1,2] " , " (8.5) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (77.4233) [2100,11200] " , " (1.75) [1,2] " , " (1.5) [1,2] "
6 , 17 , 100 , 133 , 156 , 235 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.95) [3,4] " , " (877.767) [10500,18200] " , " (2.44167) [1,3] " , " (424.892) [50,455] " , " (2) [1,2] " , " (3190.4) [1000,4000] " , " (3.46) [0,7] " , " (2220.98) [2000,2350] " , " (2) [1,2] " , " (23.9246) [15,30] " , " (9.63333) [154,252] " , " (3.43627) [2,4] " , " (1) [1,2] " , " (8.5) [8,9] " , " (1.25) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (231.271) [2100,11200] " , " (1) [1,2] " , " (1.5) [1,2] "
7 , 66 , 86 , 121 , 184 , 192 , 247 , " (0) [0,1] " , " (3.71667) [3,4] " , " (2) [1,2] " , " (3) [3,4] " , " (884) [10500,18200] " , " (2.63333) [1,3] " , " (253.175) [50,455] " , " (2) [1,2] " , " (3171.26) [1000,4000] " , " (2.99) [0,7] " , " (2221.29) [2000,2350] " , " (1.66667) [1,2] " , " (24.8233) [15,30] " , " (11.7967) [154,252] " , " (2.11) [2,4] " , " (1.23143) [1,2] " , " (8.8) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (175.57) [2100,11200] " , " (1.5) [1,2] " , " (1.5) [1,2] "
8 , 18 , 112 , 131 , 153 , 198 , 259 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (722.687) [10500,18200] " , " (1.99333) [1,3] " , " (184.243) [50,455] " , " (1.5) [1,2] " , " (2590.18) [1000,4000] " , " (6.53333) [0,7] " , " (2212.23) [2000,2350] " , " (1.6) [1,2] " , " (26.1128) [15,30] " , " (13.81) [154,252] " , " (2.85294) [2,4] " , " (1.07143) [1,2] " , " (8.8) [8,9] " , " (1.5) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (259.904) [2100,11200] " , " (2) [1,2] " , " (1.76667) [1,2] "
9 , 60 , 88 , 128 , 180 , 234 , 280 , " (1) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.9) [3,4] " , " (1215.75) [10500,18200] " , " (2.71667) [1,3] " , " (231.85) [50,455] " , " (1.5) [1,2] " , " (3231.62) [1000,4000] " , " (4.42) [0,7] " , " (2167.83) [2000,2350] " , " (1.06667) [1,2] " , " (19.6804) [15,30] " , " (11.0417) [154,252] " , " (2.125) [2,4] " , " (1.03571) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (173.74) [2100,11200] " , " (1.25) [1,2] " , " (2) [1,2] "
10 , 11 , 105 , 132 , 152 , 206 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.07143) [1,2] " , " (3.16667) [3,4] " , " (923.5) [10500,18200] " , " (2.19333) [1,3] " , " (440.492) [50,455] " , " (1) [1,2] " , " (2426.61) [1000,4000] " , " (4.28571) [0,7] " , " (2056.48) [2000,2350] " , " (1.33333) [1,2] " , " (19.9379) [15,30] " , " (10.8333) [154,252] " , " (2.66667) [2,4] " , " (1.03571) [1,2] " , " (9) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (112.133) [2100,11200] " , " (2) [1,2] " , " (1.5) [1,2] "
