DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 20 , 95 , 119 , 177 , 235 , 243 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.6) [3,4] " , " (1307.15) [10500,18200] " , " (2.9) [1,3] " , " (188.167) [50,455] " , " (2) [1,2] " , " (1914.33) [1000,4000] " , " (5.18) [0,7] " , " (2106.57) [2000,2350] " , " (2) [1,2] " , " (27.725) [15,30] " , " (10.9767) [154,252] " , " (2) [2,4] " , " (2) [1,2] " , " (8.05) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (193.955) [2100,11200] " , " (1.5) [1,2] " , " (1.91667) [1,2] "
2 , 11 , 107 , 135 , 151 , 234 , 275 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.76667) [3,4] " , " (774.6) [10500,18200] " , " (1.45333) [1,3] " , " (445.292) [50,455] " , " (2) [1,2] " , " (3023.38) [1000,4000] " , " (5.74) [0,7] " , " (2099.4) [2000,2350] " , " (1) [1,2] " , " (28.4808) [15,30] " , " (11.9267) [154,252] " , " (3.625) [2,4] " , " (1.75) [1,2] " , " (8.5) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (114.578) [2100,11200] " , " (2) [1,2] " , " (1.5) [1,2] "
3 , 66 , 92 , 136 , 185 , 192 , 248 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1) [1,2] " , " (3.06667) [3,4] " , " (953.21) [10500,18200] " , " (2.23333) [1,3] " , " (355.762) [50,455] " , " (2) [1,2] " , " (2889.5) [1000,4000] " , " (6.39) [0,7] " , " (2192.56) [2000,2350] " , " (2) [1,2] " , " (20.888) [15,30] " , " (11.61) [154,252] " , " (2.42667) [2,4] " , " (1.23143) [1,2] " , " (8.65) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (143.255) [2100,11200] " , " (2) [1,2] " , " (1.7) [1,2] "
4 , 20 , 84 , 131 , 180 , 211 , 295 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.16667) [3,4] " , " (1161.23) [10500,18200] " , " (1.79333) [1,3] " , " (192.825) [50,455] " , " (1.5) [1,2] " , " (2984.28) [1000,4000] " , " (6.15) [0,7] " , " (2219.33) [2000,2350] " , " (1.66667) [1,2] " , " (28.0017) [15,30] " , " (11.8617) [154,252] " , " (2.16667) [2,4] " , " (2) [1,2] " , " (8.4) [8,9] " , " (1.45) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (93.115) [2100,11200] " , " (1.75) [1,2] " , " (1.66667) [1,2] "
5 , 11 , 88 , 118 , 143 , 207 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (1.5) [1,2] " , " (3.95) [3,4] " , " (1131.35) [10500,18200] " , " (2.47667) [1,3] " , " (453.325) [50,455] " , " (2) [1,2] " , " (3591.82) [1000,4000] " , " (2.21) [0,7] " , " (2192.26) [2000,2350] " , " (1.4) [1,2] " , " (28.4083) [15,30] " , " (13.7) [154,252] " , " (2.16667) [2,4] " , " (1.75) [1,2] " , " (8.75) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (181.918) [2100,11200] " , " (2) [1,2] " , " (1.5) [1,2] "
6 , 29 , 96 , 125 , 152 , 235 , 285 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1.07143) [1,2] " , " (3.26667) [3,4] " , " (787.425) [10500,18200] " , " (2.61667) [1,3] " , " (453.157) [50,455] " , " (1.6) [1,2] " , " (3226.72) [1000,4000] " , " (3.85571) [0,7] " , " (2125.95) [2000,2350] " , " (1.66667) [1,2] " , " (26.0733) [15,30] " , " (31.7517) [154,252] " , " (2.83333) [2,4] " , " (1.5) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (195.318) [2100,11200] " , " (2) [1,2] " , " (1.75) [1,2] "
7 , 18 , 99 , 132 , 156 , 218 , 246 , " (0) [0,1] " , " (3.46667) [3,4] " , " (1) [1,2] " , " (3.5) [3,4] " , " (987.957) [10500,18200] " , " (2.91667) [1,3] " , " (155.135) [50,455] " , " (2) [1,2] " , " (1929.42) [1000,4000] " , " (4.9) [0,7] " , " (2229.14) [2000,2350] " , " (1.6) [1,2] " , " (29.7462) [15,30] " , " (10.695) [154,252] " , " (3) [2,4] " , " (1.28571) [1,2] " , " (8.3) [8,9] " , " (1.85) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (250.342) [2100,11200] " , " (1.25) [1,2] " , " (1.76667) [1,2] "
8 , 20 , 113 , 122 , 163 , 221 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.41667) [3,4] " , " (916.377) [10500,18200] " , " (2.46667) [1,3] " , " (194.985) [50,455] " , " (2) [1,2] " , " (2826.38) [1000,4000] " , " (5.2) [0,7] " , " (2285.01) [2000,2350] " , " (1) [1,2] " , " (25.8642) [15,30] " , " (13.186) [154,252] " , " (3.79167) [2,4] " , " (1.5) [1,2] " , " (8.19) [8,9] " , " (1.75) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (151.224) [2100,11200] " , " (2) [1,2] " , " (1.76667) [1,2] "
9 , 11 , 112 , 130 , 153 , 231 , 255 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.61667) [3,4] " , " (578.433) [10500,18200] " , " (2.23333) [1,3] " , " (429.892) [50,455] " , " (2) [1,2] " , " (3212.27) [1000,4000] " , " (6.64333) [0,7] " , " (2074.3) [2000,2350] " , " (1.93333) [1,2] " , " (22.5607) [15,30] " , " (11.4333) [154,252] " , " (2.5) [2,4] " , " (1.32143) [1,2] " , " (8.13333) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (167.813) [2100,11200] " , " (2) [1,2] " , " (1.5) [1,2] "
10 , 8 , 86 , 128 , 184 , 235 , 247 , " (0) [0,1] " , " (3.21667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (888.55) [10500,18200] " , " (2.91667) [1,3] " , " (452.85) [50,455] " , " (2) [1,2] " , " (2805.51) [1000,4000] " , " (3.09) [0,7] " , " (2178.48) [2000,2350] " , " (2) [1,2] " , " (26.7059) [15,30] " , " (11.86) [154,252] " , " (2.18529) [2,4] " , " (1.78571) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (206.371) [2100,11200] " , " (1.5) [1,2] " , " (1.5) [1,2] "
11 , 78 , 85 , 117 , 145 , 211 , 241 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.24359) [1,2] " , " (3.95) [3,4] " , " (1282.95) [10500,18200] " , " (2.78333) [1,3] " , " (161.625) [50,455] " , " (1.66667) [1,2] " , " (2609.36) [1000,4000] " , " (3.83692) [0,7] " , " (2115.55) [2000,2350] " , " (1.26667) [1,2] " , " (22.3669) [15,30] " , " (8.66) [154,252] " , " (2.09314) [2,4] " , " (1) [1,2] " , " (8.7) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (163.96) [2100,11200] " , " (2) [1,2] " , " (2) [1,2] "
12 , 66 , 95 , 121 , 175 , 192 , 274 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1) [1,2] " , " (3.1) [3,4] " , " (776.733) [10500,18200] " , " (2.31667) [1,3] " , " (216.608) [50,455] " , " (1.5) [1,2] " , " (2479.68) [1000,4000] " , " (2.08) [0,7] " , " (2075.33) [2000,2350] " , " (1.33333) [1,2] " , " (26.6566) [15,30] " , " (11.72) [154,252] " , " (2.66) [2,4] " , " (1.23143) [1,2] " , " (8.9) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (146.797) [2100,11200] " , " (1.75) [1,2] " , " (1.5) [1,2] "
13 , 11 , 107 , 120 , 137 , 221 , 254 , " (0) [0,1] " , " (3.5) [3,4] " , " (1) [1,2] " , " (3.5) [3,4] " , " (837.413) [10500,18200] " , " (2.56) [1,3] " , " (420.725) [50,455] " , " (1.66667) [1,2] " , " (2535.22) [1000,4000] " , " (2) [0,7] " , " (2039.1) [2000,2350] " , " (1) [1,2] " , " (29.6801) [15,30] " , " (9.59333) [154,252] " , " (3.36961) [2,4] " , " (1.75) [1,2] " , " (8.33333) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (122.518) [2100,11200] " , " (2) [1,2] " , " (1.5) [1,2] "
14 , 18 , 84 , 129 , 149 , 235 , 267 , " (0) [0,1] " , " (4) [3,4] " , " (2) [1,2] " , " (4) [3,4] " , " (1004.4) [10500,18200] " , " (2.1) [1,3] " , " (178.026) [50,455] " , " (1.71429) [1,2] " , " (3570.82) [1000,4000] " , " (2.5) [0,7] " , " (2191) [2000,2350] " , " (1.5) [1,2] " , " (24.0333) [15,30] " , " (13.6186) [154,252] " , " (2) [2,4] " , " (1.5) [1,2] " , " (8.8) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (129.127) [2100,11200] " , " (2) [1,2] " , " (1.66667) [1,2] "
