DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 20 , 84 , 118 , 180 , 198 , 295 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.16667) [3,4] " , " (1149.01) [42000,72800] " , " (2.06667) [1,3] " , " (212.06) [50,455] " , " (1.5) [1,2] " , " (2989.94) [1000,4000] " , " (6.15) [0,7] " , " (2202.71) [2000,2350] " , " (1.66667) [1,2] " , " (25.8654) [15,30] " , " (12.0417) [616,1008] " , " (2.01961) [2,4] " , " (1.5) [1,2] " , " (8.9) [8,9] " , " (1.5) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (125.387) [8400,44800] " , " (1.75) [1,2] " , " (1.76667) [1,2] "
2 , 8 , 96 , 130 , 177 , 235 , 254 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.25) [3,4] " , " (1361.54) [42000,72800] " , " (2.83333) [1,3] " , " (411.917) [50,455] " , " (2) [1,2] " , " (1567.35) [1000,4000] " , " (4.1) [0,7] " , " (2052.69) [2000,2350] " , " (1.66667) [1,2] " , " (27.1264) [15,30] " , " (12.105) [616,1008] " , " (2.25196) [2,4] " , " (1.5) [1,2] " , " (8.85) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (237.659) [8400,44800] " , " (1.25) [1,2] " , " (1.5) [1,2] "
3 , 11 , 112 , 131 , 147 , 193 , 260 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1.33333) [1,2] " , " (3.08333) [3,4] " , " (910.51) [42000,72800] " , " (2.56) [1,3] " , " (430.117) [50,455] " , " (2) [1,2] " , " (3831.25) [1000,4000] " , " (4.78333) [0,7] " , " (2111.46) [2000,2350] " , " (1.6) [1,2] " , " (22.3183) [15,30] " , " (11.66) [616,1008] " , " (2.28333) [2,4] " , " (1.25) [1,2] " , " (8.5) [8,9] " , " (2) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (123.013) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
4 , 31 , 107 , 132 , 184 , 214 , 280 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.7) [3,4] " , " (1162.6) [42000,72800] " , " (1.975) [1,3] " , " (269) [50,455] " , " (2) [1,2] " , " (3742.72) [1000,4000] " , " (3.86) [0,7] " , " (2211.35) [2000,2350] " , " (1.33333) [1,2] " , " (21.5345) [15,30] " , " (11.2) [616,1008] " , " (3.2) [2,4] " , " (1.03571) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (193.177) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
5 , 25 , 84 , 124 , 175 , 206 , 246 , " (0) [0,1] " , " (3.13333) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (857.883) [42000,72800] " , " (2.26667) [1,3] " , " (431.96) [50,455] " , " (1.5) [1,2] " , " (3756.76) [1000,4000] " , " (3.4) [0,7] " , " (2138.9) [2000,2350] " , " (1.66667) [1,2] " , " (26.975) [15,30] " , " (12.5133) [616,1008] " , " (3.68333) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (107.893) [8400,44800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
6 , 66 , 110 , 129 , 153 , 198 , 259 , " (0.3) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (1091.63) [42000,72800] " , " (2.81667) [1,3] " , " (288.41) [50,455] " , " (1.5) [1,2] " , " (3589.27) [1000,4000] " , " (4.8) [0,7] " , " (2321.9) [2000,2350] " , " (1.33333) [1,2] " , " (27.7868) [15,30] " , " (14.9733) [616,1008] " , " (2.51294) [2,4] " , " (1.73143) [1,2] " , " (8.6) [8,9] " , " (1.5) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (257.844) [8400,44800] " , " (2) [1,2] " , " (1.6) [1,2] "
7 , 20 , 95 , 128 , 180 , 210 , 267 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.14286) [1,2] " , " (3.6) [3,4] " , " (1174.28) [42000,72800] " , " (1.85) [1,3] " , " (191.842) [50,455] " , " (1.5) [1,2] " , " (2162.07) [1000,4000] " , " (5.15143) [0,7] " , " (2110.19) [2000,2350] " , " (1.83333) [1,2] " , " (27.7992) [15,30] " , " (12.195) [616,1008] " , " (2.40196) [2,4] " , " (1.78571) [1,2] " , " (8.65) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (208.021) [8400,44800] " , " (1) [1,2] " , " (1.66667) [1,2] "
8 , 29 , 96 , 118 , 152 , 235 , 285 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1.07143) [1,2] " , " (3.26667) [3,4] " , " (786.525) [42000,72800] " , " (2.51667) [1,3] " , " (453.157) [50,455] " , " (1.6) [1,2] " , " (3459.78) [1000,4000] " , " (3.85571) [0,7] " , " (2126.05) [2000,2350] " , " (1.66667) [1,2] " , " (26.4933) [15,30] " , " (32.1517) [616,1008] " , " (2.83333) [2,4] " , " (1.5) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (193.598) [8400,44800] " , " (2) [1,2] " , " (1.75) [1,2] "
9 , 32 , 84 , 136 , 175 , 192 , 286 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (922.333) [42000,72800] " , " (2.9) [1,3] " , " (261.392) [50,455] " , " (1.5) [1,2] " , " (3947.32) [1000,4000] " , " (5.9) [0,7] " , " (2342.07) [2000,2350] " , " (1.66667) [1,2] " , " (25.9357) [15,30] " , " (15.4717) [616,1008] " , " (3) [2,4] " , " (1.57143) [1,2] " , " (8.98333) [8,9] " , " (1.15) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (219.748) [8400,44800] " , " (1.5) [1,2] " , " (2) [1,2] "
10 , 21 , 86 , 130 , 181 , 206 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.9) [3,4] " , " (787.55) [42000,72800] " , " (1.5) [1,3] " , " (346.35) [50,455] " , " (1.5) [1,2] " , " (2671.76) [1000,4000] " , " (6.02) [0,7] " , " (2131.8) [2000,2350] " , " (1.66667) [1,2] " , " (29.3433) [15,30] " , " (11.1167) [616,1008] " , " (3.83333) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (235.748) [8400,44800] " , " (1) [1,2] " , " (1) [1,2] "
