DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 11 , 88 , 133 , 143 , 231 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (1) [1,2] " , " (3.95) [3,4] " , " (901.867) [42000,72800] " , " (2.57667) [1,3] " , " (430.125) [50,455] " , " (2) [1,2] " , " (3459.7) [1000,4000] " , " (1.96) [0,7] " , " (2085.36) [2000,2350] " , " (1.4) [1,2] " , " (29.3917) [15,30] " , " (11.9667) [616,1008] " , " (3.16667) [2,4] " , " (1.75) [1,2] " , " (8.33333) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (156.458) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
2 , 31 , 107 , 132 , 184 , 214 , 280 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.7) [3,4] " , " (1162.6) [42000,72800] " , " (1.975) [1,3] " , " (269) [50,455] " , " (2) [1,2] " , " (3742.72) [1000,4000] " , " (3.86) [0,7] " , " (2211.35) [2000,2350] " , " (1.33333) [1,2] " , " (21.5345) [15,30] " , " (11.2) [616,1008] " , " (3.2) [2,4] " , " (1.03571) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (193.177) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
3 , 18 , 92 , 134 , 137 , 221 , 246 , " (0) [0,1] " , " (3.3) [3,4] " , " (1) [1,2] " , " (3.51667) [3,4] " , " (938.417) [42000,72800] " , " (2.26667) [1,3] " , " (264.255) [50,455] " , " (2) [1,2] " , " (2078.72) [1000,4000] " , " (4.18) [0,7] " , " (2124.61) [2000,2350] " , " (1) [1,2] " , " (25.4937) [15,30] " , " (10.23) [616,1008] " , " (3.01961) [2,4] " , " (1) [1,2] " , " (8.05) [8,9] " , " (1.85) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (138.581) [8400,44800] " , " (2) [1,2] " , " (1.96667) [1,2] "
4 , 72 , 86 , 128 , 180 , 192 , 294 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.9) [3,4] " , " (782.38) [42000,72800] " , " (2.35) [1,3] " , " (226.225) [50,455] " , " (1.5) [1,2] " , " (2887.01) [1000,4000] " , " (5.22) [0,7] " , " (2218.42) [2000,2350] " , " (2) [1,2] " , " (26.6502) [15,30] " , " (10.405) [616,1008] " , " (2.66) [2,4] " , " (1.28571) [1,2] " , " (8.1) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (219.587) [8400,44800] " , " (1.25) [1,2] " , " (1) [1,2] "
5 , 20 , 84 , 119 , 160 , 211 , 267 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3) [3,4] " , " (1169.1) [42000,72800] " , " (2.86667) [1,3] " , " (214.608) [50,455] " , " (2) [1,2] " , " (3523.51) [1000,4000] " , " (2.3) [0,7] " , " (2283.43) [2000,2350] " , " (1.5) [1,2] " , " (27.905) [15,30] " , " (12.095) [616,1008] " , " (2.75) [2,4] " , " (2) [1,2] " , " (8.9) [8,9] " , " (1.45) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (170.555) [8400,44800] " , " (2) [1,2] " , " (1.91667) [1,2] "
6 , 29 , 96 , 118 , 152 , 235 , 285 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1.07143) [1,2] " , " (3.26667) [3,4] " , " (786.525) [42000,72800] " , " (2.51667) [1,3] " , " (453.157) [50,455] " , " (1.6) [1,2] " , " (3459.78) [1000,4000] " , " (3.85571) [0,7] " , " (2126.05) [2000,2350] " , " (1.66667) [1,2] " , " (26.4933) [15,30] " , " (32.1517) [616,1008] " , " (2.83333) [2,4] " , " (1.5) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (193.598) [8400,44800] " , " (2) [1,2] " , " (1.75) [1,2] "
7 , 17 , 100 , 131 , 156 , 192 , 260 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.95) [3,4] " , " (940.117) [42000,72800] " , " (2.06833) [1,3] " , " (428.367) [50,455] " , " (2) [1,2] " , " (3199.23) [1000,4000] " , " (3.16) [0,7] " , " (2217.18) [2000,2350] " , " (2) [1,2] " , " (27.2579) [15,30] " , " (9.83333) [616,1008] " , " (3.43627) [2,4] " , " (1.5) [1,2] " , " (8) [8,9] " , " (1.4) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (220.352) [8400,44800] " , " (1) [1,2] " , " (1.5) [1,2] "
8 , 31 , 95 , 125 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1174.08) [42000,72800] " , " (2.95833) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3235.14) [1000,4000] " , " (2.68) [0,7] " , " (2171.68) [2000,2350] " , " (2) [1,2] " , " (22.3517) [15,30] " , " (11.5217) [616,1008] " , " (3.7) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (291.916) [8400,44800] " , " (1.75) [1,2] " , " (2) [1,2] "
9 , 18 , 112 , 129 , 153 , 211 , 291 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.91667) [3,4] " , " (745.957) [42000,72800] " , " (2.81) [1,3] " , " (159.958) [50,455] " , " (2) [1,2] " , " (3216.64) [1000,4000] " , " (6.73333) [0,7] " , " (2211.42) [2000,2350] " , " (1.6) [1,2] " , " (23.6657) [15,30] " , " (14) [616,1008] " , " (2) [2,4] " , " (1.07143) [1,2] " , " (8.6) [8,9] " , " (1.45) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (182.97) [8400,44800] " , " (2) [1,2] " , " (1.66667) [1,2] "
10 , 66 , 113 , 120 , 151 , 235 , 248 , " (0) [0,1] " , " (3.21667) [3,4] " , " (1.66667) [1,2] " , " (3.35) [3,4] " , " (798.463) [42000,72800] " , " (2.14667) [1,3] " , " (243.91) [50,455] " , " (2) [1,2] " , " (2800.38) [1000,4000] " , " (2.57) [0,7] " , " (2195.41) [2000,2350] " , " (1) [1,2] " , " (25.5937) [15,30] " , " (12.4193) [616,1008] " , " (2.49333) [2,4] " , " (1.66) [1,2] " , " (8.32333) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (108.495) [8400,44800] " , " (2) [1,2] " , " (1.6) [1,2] "
11 , 11 , 107 , 130 , 149 , 218 , 283 , " (0) [0,1] " , " (3.4) [3,4] " , " (1) [1,2] " , " (3.33333) [3,4] " , " (771.56) [42000,72800] " , " (1.98333) [1,3] " , " (411.335) [50,455] " , " (1.71429) [1,2] " , " (3113.55) [1000,4000] " , " (2.7) [0,7] " , " (2033.08) [2000,2350] " , " (1.33333) [1,2] " , " (25.2883) [15,30] " , " (11.4869) [616,1008] " , " (3) [2,4] " , " (1.75) [1,2] " , " (8.5) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (77.4233) [8400,44800] " , " (1.75) [1,2] " , " (1.5) [1,2] "
12 , 60 , 88 , 121 , 180 , 234 , 280 , " (1) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.9) [3,4] " , " (1215.75) [42000,72800] " , " (2.45) [1,3] " , " (231.85) [50,455] " , " (1.5) [1,2] " , " (3192.36) [1000,4000] " , " (4.42) [0,7] " , " (2197.77) [2000,2350] " , " (1.06667) [1,2] " , " (23.6485) [15,30] " , " (11.0417) [616,1008] " , " (2.125) [2,4] " , " (1.32143) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (152.778) [8400,44800] " , " (1.25) [1,2] " , " (2) [1,2] "
13 , 25 , 84 , 127 , 175 , 206 , 246 , " (0) [0,1] " , " (3.13333) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (857.883) [42000,72800] " , " (2.76667) [1,3] " , " (431.96) [50,455] " , " (1.5) [1,2] " , " (3775.84) [1000,4000] " , " (3.4) [0,7] " , " (2155.3) [2000,2350] " , " (1.66667) [1,2] " , " (27.725) [15,30] " , " (12.5133) [616,1008] " , " (3.68333) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (94.9933) [8400,44800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
14 , 19 , 96 , 133 , 185 , 235 , 295 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.86667) [3,4] " , " (765.11) [42000,72800] " , " (2.96667) [1,3] " , " (450.217) [50,455] " , " (1) [1,2] " , " (2058.52) [1000,4000] " , " (5.34) [0,7] " , " (2066.83) [2000,2350] " , " (1) [1,2] " , " (29.9517) [15,30] " , " (11.12) [616,1008] " , " (2.76667) [2,4] " , " (1.5) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (290.36) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
15 , 66 , 92 , 132 , 137 , 192 , 285 , " (0) [0,1] " , " (3.55) [3,4] " , " (1) [1,2] " , " (3.45) [3,4] " , " (953.185) [42000,72800] " , " (3) [1,3] " , " (321.695) [50,455] " , " (2) [1,2] " , " (2685.71) [1000,4000] " , " (2.25) [0,7] " , " (2307.15) [2000,2350] " , " (2) [1,2] " , " (28.6806) [15,30] " , " (11.965) [616,1008] " , " (2.17961) [2,4] " , " (1.94571) [1,2] " , " (8.55) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (135.311) [8400,44800] " , " (2) [1,2] " , " (1.95) [1,2] "
16 , 11 , 112 , 134 , 143 , 193 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.16667) [3,4] " , " (858.3) [42000,72800] " , " (2.47667) [1,3] " , " (418.925) [50,455] " , " (2) [1,2] " , " (2939.73) [1000,4000] " , " (4.33333) [0,7] " , " (2211.25) [2000,2350] " , " (1.6) [1,2] " , " (29.7183) [15,30] " , " (10.26) [616,1008] " , " (2.5) [2,4] " , " (1.75) [1,2] " , " (9) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (112.67) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
17 , 20 , 95 , 119 , 177 , 235 , 243 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.6) [3,4] " , " (1307.15) [42000,72800] " , " (2.9) [1,3] " , " (188.167) [50,455] " , " (2) [1,2] " , " (1914.33) [1000,4000] " , " (5.18) [0,7] " , " (2106.57) [2000,2350] " , " (2) [1,2] " , " (27.725) [15,30] " , " (10.9767) [616,1008] " , " (2) [2,4] " , " (2) [1,2] " , " (8.05) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (193.955) [8400,44800] " , " (1.5) [1,2] " , " (1.91667) [1,2] "
18 , 78 , 85 , 117 , 145 , 211 , 241 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.24359) [1,2] " , " (3.95) [3,4] " , " (1282.95) [42000,72800] " , " (2.78333) [1,3] " , " (161.625) [50,455] " , " (1.66667) [1,2] " , " (2609.36) [1000,4000] " , " (3.83692) [0,7] " , " (2115.55) [2000,2350] " , " (1.26667) [1,2] " , " (22.3669) [15,30] " , " (8.66) [616,1008] " , " (2.09314) [2,4] " , " (1) [1,2] " , " (8.7) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (163.96) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
