DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 66 , 96 , 134 , 131 , 151 , 185 , 192 , 272 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.5,3.7) [3,4] " , " (703.9,720.3) [42000,72800] " , " (2.00333,1.84333) [1,3] " , " (232.075,254.875) [50,455] " , " (1,1) [1,2] " , " (2331.88,2808.78) [1000,4000] " , " (2.2,2.34) [0,7] " , " (2161.26,2109.93) [2000,2350] " , " (1.6,1.6) [1,2] " , " (27.0673,21.9507) [15,30] " , " (10.97,9.87) [616,1008] " , " (2.16,2.26) [2,4] " , " (1.66,1.16) [1,2] " , " (8.4,8.4) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (187.297,187.448) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
2 , 11 , 112 , 132 , 129 , 147 , 160 , 193 , 260 , " (0,0) [0,1] " , " (3.33333,3.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.08333,3.66667) [3,4] " , " (883.21,883.5) [42000,72800] " , " (2.83333,2.53333) [1,3] " , " (430.117,418.925) [50,455] " , " (2,2) [1,2] " , " (3601.33,2938.91) [1000,4000] " , " (4.78333,4.53333) [0,7] " , " (2101.69,2157.25) [2000,2350] " , " (1.6,1.6) [1,2] " , " (20.8379,23.0033) [15,30] " , " (11.56,10.56) [616,1008] " , " (2.28333,2.08333) [2,4] " , " (1.03571,1.25) [1,2] " , " (8.5,9) [8,9] " , " (2,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (128.962,142.478) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
3 , 66 , 113 , 124 , 121 , 151 , 185 , 235 , 285 , " (0,0) [0,1] " , " (3.71667,3.71667) [3,4] " , " (1.66667,1.66667) [1,2] " , " (3.35,3.55) [3,4] " , " (798.825,790.925) [42000,72800] " , " (2.98667,2.63333) [1,3] " , " (246.41,269.21) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2888.65,3115.17) [1000,4000] " , " (2.57,2.71) [0,7] " , " (2217.65,2217.08) [2000,2350] " , " (1,1) [1,2] " , " (27.0623,23.4433) [15,30] " , " (12.3877,11.0877) [616,1008] " , " (2.49333,2.59333) [2,4] " , " (1.66,1.23143) [1,2] " , " (8.09,8.59) [8,9] " , " (1,1) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (133.053,110.841) [8400,44800] " , " (2,2) [1,2] " , " (1.85,1.85) [1,2] "
4 , 66 , 96 , 134 , 122 , 151 , 137 , 192 , 272 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1,1) [1,2] " , " (3.5,3.75) [3,4] " , " (703.9,688.2) [42000,72800] " , " (2.00333,2.51667) [1,3] " , " (232.075,243.675) [50,455] " , " (1,1.66667) [1,2] " , " (2331.88,3287.96) [1000,4000] " , " (2.2,2.3) [0,7] " , " (2161.26,2185.81) [2000,2350] " , " (1.6,1.6) [1,2] " , " (27.0673,27.2194) [15,30] " , " (10.97,9.80333) [616,1008] " , " (2.16,2.01294) [2,4] " , " (1.66,1.66) [1,2] " , " (8.4,8.4) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (187.297,196.866) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
5 , 11 , 112 , 132 , 131 , 147 , 160 , 193 , 260 , " (0,0) [0,1] " , " (3.33333,3.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.08333,3.66667) [3,4] " , " (883.21,883.5) [42000,72800] " , " (2.83333,2.54333) [1,3] " , " (430.117,418.925) [50,455] " , " (2,2) [1,2] " , " (3601.33,2938.81) [1000,4000] " , " (4.78333,4.53333) [0,7] " , " (2101.69,2156.48) [2000,2350] " , " (1.6,1.6) [1,2] " , " (20.8379,23.0033) [15,30] " , " (11.56,10.56) [616,1008] " , " (2.28333,2.08333) [2,4] " , " (1.03571,1.25) [1,2] " , " (8.5,9) [8,9] " , " (2,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (128.962,142.478) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
6 , 11 , 107 , 130 , 121 , 151 , 185 , 214 , 284 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.75,3.95) [3,4] " , " (857.667,840.9) [42000,72800] " , " (1.45333,1.91667) [1,3] " , " (440.342,453.675) [50,455] " , " (2,2) [1,2] " , " (2366.27,2527.6) [1000,4000] " , " (3.7,3.84) [0,7] " , " (2102.74,2044.21) [2000,2350] " , " (1.33333,1) [1,2] " , " (29.0383,26.9426) [15,30] " , " (12.4933,10.2267) [616,1008] " , " (3.5,3.6) [2,4] " , " (1.75,1.32143) [1,2] " , " (8.5,8.5) [8,9] " , " (1.05,1.05) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (152.353,155.653) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
7 , 66 , 92 , 132 , 136 , 137 , 185 , 192 , 248 , " (0,0) [0,1] " , " (3.05,3.71667) [3,4] " , " (1,1) [1,2] " , " (3.45,3.06667) [3,4] " , " (950.21,953.21) [42000,72800] " , " (2.7,2.23333) [1,3] " , " (307.595,355.762) [50,455] " , " (2,2) [1,2] " , " (2601.38,2889.5) [1000,4000] " , " (2.25,6.39) [0,7] " , " (2263.85,2192.56) [2000,2350] " , " (2,2) [1,2] " , " (28.4506,20.888) [15,30] " , " (11.81,11.61) [616,1008] " , " (2.17961,2.42667) [2,4] " , " (1.94571,1.23143) [1,2] " , " (8.65,8.65) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (135.111,143.255) [8400,44800] " , " (2,2) [1,2] " , " (1.7,1.7) [1,2] "
8 , 20 , 113 , 130 , 124 , 152 , 163 , 206 , 260 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.07143,1) [1,2] " , " (3.91667,3.41667) [3,4] " , " (882.743,935.577) [42000,72800] " , " (1.53333,2.96667) [1,3] " , " (184.252,183.385) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2376.17,2309.31) [1000,4000] " , " (4.88571,4.6) [0,7] " , " (2165.59,2203.89) [2000,2350] " , " (1,1) [1,2] " , " (24.4817,28.3742) [15,30] " , " (12.386,13.3527) [616,1008] " , " (3,3.29167) [2,4] " , " (1.5,1.5) [1,2] " , " (8.19,8.69) [8,9] " , " (1.75,1.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (131.428,182.764) [8400,44800] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] "
9 , 66 , 96 , 134 , 131 , 151 , 185 , 235 , 272 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.66667,1.66667) [1,2] " , " (3.5,3.7) [3,4] " , " (665.85,682.25) [42000,72800] " , " (2.00333,1.84333) [1,3] " , " (228.6,251.4) [50,455] " , " (1,1) [1,2] " , " (2323.14,2800.04) [1000,4000] " , " (2.5,2.64) [0,7] " , " (2176.33,2125) [2000,2350] " , " (1.6,1.6) [1,2] " , " (27.0673,21.9507) [15,30] " , " (10.97,9.87) [616,1008] " , " (2.16,2.26) [2,4] " , " (1.66,1.16) [1,2] " , " (8.4,8.4) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (187.297,187.448) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
10 , 11 , 112 , 132 , 133 , 160 , 143 , 193 , 260 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.66667,3.16667) [3,4] " , " (856.2,858.3) [42000,72800] " , " (2.81667,2.37667) [1,3] " , " (418.925,418.925) [50,455] " , " (2,2) [1,2] " , " (2708.89,3172.13) [1000,4000] " , " (4.53333,4.33333) [0,7] " , " (2146.7,2208.35) [2000,2350] " , " (1.6,1.6) [1,2] " , " (21.5229,29.5483) [15,30] " , " (10.46,10.26) [616,1008] " , " (2.08333,2.5) [2,4] " , " (1.03571,1.75) [1,2] " , " (9,9) [8,9] " , " (1.95,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (148.427,103.32) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
