DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 66 , 113 , 124 , 121 , 151 , 185 , 235 , 285 , " (0,0) [0,1] " , " (3.71667,3.71667) [3,4] " , " (1.66667,1.66667) [1,2] " , " (3.35,3.55) [3,4] " , " (798.825,790.925) [42000,72800] " , " (2.98667,2.63333) [1,3] " , " (246.41,269.21) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2888.65,3115.17) [1000,4000] " , " (2.57,2.71) [0,7] " , " (2217.65,2217.08) [2000,2350] " , " (1,1) [1,2] " , " (27.0623,23.4433) [15,30] " , " (12.3877,11.0877) [616,1008] " , " (2.49333,2.59333) [2,4] " , " (1.66,1.23143) [1,2] " , " (8.09,8.59) [8,9] " , " (1,1) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (133.053,110.841) [8400,44800] " , " (2,2) [1,2] " , " (1.85,1.85) [1,2] "
2 , 11 , 112 , 132 , 134 , 160 , 143 , 193 , 260 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.66667,3.16667) [3,4] " , " (856.2,858.3) [42000,72800] " , " (2.81667,2.47667) [1,3] " , " (418.925,418.925) [50,455] " , " (2,2) [1,2] " , " (2708.89,2939.73) [1000,4000] " , " (4.53333,4.33333) [0,7] " , " (2146.7,2211.25) [2000,2350] " , " (1.6,1.6) [1,2] " , " (21.5229,29.7183) [15,30] " , " (10.46,10.26) [616,1008] " , " (2.08333,2.5) [2,4] " , " (1.03571,1.75) [1,2] " , " (9,9) [8,9] " , " (1.95,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (148.427,112.67) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
3 , 66 , 96 , 118 , 131 , 151 , 185 , 192 , 272 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.5,3.7) [3,4] " , " (703,720.3) [42000,72800] " , " (1.80333,1.84333) [1,3] " , " (232.075,254.875) [50,455] " , " (1,1) [1,2] " , " (2565.08,2808.78) [1000,4000] " , " (2.2,2.34) [0,7] " , " (2159.56,2109.93) [2000,2350] " , " (1.6,1.6) [1,2] " , " (27.3473,21.9507) [15,30] " , " (11.37,9.87) [616,1008] " , " (2.16,2.26) [2,4] " , " (1.66,1.16) [1,2] " , " (8.4,8.4) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (183.207,187.448) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
4 , 20 , 84 , 133 , 127 , 181 , 175 , 227 , 246 , " (0,0) [0,1] " , " (3.46667,3.13333) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1168.58,1040.18) [42000,72800] " , " (1.83333,2.36667) [1,3] " , " (225.835,173.085) [50,455] " , " (1.5,1.5) [1,2] " , " (3408.6,3580.72) [1000,4000] " , " (5.7,3.4) [0,7] " , " (2239.18,2232.33) [2000,2350] " , " (1.66667,1) [1,2] " , " (24.75,27.135) [15,30] " , " (10.5667,12.4) [616,1008] " , " (2.66667,3.66667) [2,4] " , " (1.5,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (95.3517,92.4817) [8400,44800] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
5 , 11 , 107 , 126 , 130 , 151 , 137 , 234 , 275 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1,1) [1,2] " , " (3.76667,3.35) [3,4] " , " (775.4,770.467) [42000,72800] " , " (2.10333,1.98333) [1,3] " , " (445.292,429.392) [50,455] " , " (2,2) [1,2] " , " (2863.84,3298.25) [1000,4000] " , " (5.74,1.34) [0,7] " , " (2123.9,2134.88) [2000,2350] " , " (1,1.33333) [1,2] " , " (29.7908,28.7462) [15,30] " , " (12.0667,11.4933) [616,1008] " , " (3.625,3.47794) [2,4] " , " (1.75,1.75) [1,2] " , " (8.7,9) [8,9] " , " (1.05,1.05) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (202.738,134.434) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
6 , 66 , 113 , 119 , 124 , 185 , 151 , 235 , 248 , " (0,0) [0,1] " , " (3.21667,3.21667) [3,4] " , " (2,1.66667) [1,2] " , " (3.55,3.35) [3,4] " , " (791.325,795.85) [42000,72800] " , " (2.08333,2.68667) [1,3] " , " (274.61,232.31) [50,455] " , " (1.33333,1.33333) [1,2] " , " (3135.71,2804.33) [1000,4000] " , " (3.41,2.57) [0,7] " , " (2203.66,2174.35) [2000,2350] " , " (1,1) [1,2] " , " (20.319,26.8323) [15,30] " , " (11.1577,12.2327) [616,1008] " , " (2.59333,2.49333) [2,4] " , " (1.16,1.66) [1,2] " , " (8.69,8.19) [8,9] " , " (1,1) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (104.481,132.853) [8400,44800] " , " (2,2) [1,2] " , " (1.85,1.6) [1,2] "
7 , 11 , 112 , 132 , 129 , 147 , 160 , 193 , 260 , " (0,0) [0,1] " , " (3.33333,3.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.08333,3.66667) [3,4] " , " (883.21,883.5) [42000,72800] " , " (2.83333,2.53333) [1,3] " , " (430.117,418.925) [50,455] " , " (2,2) [1,2] " , " (3601.33,2938.91) [1000,4000] " , " (4.78333,4.53333) [0,7] " , " (2101.69,2157.25) [2000,2350] " , " (1.6,1.6) [1,2] " , " (20.8379,23.0033) [15,30] " , " (11.56,10.56) [616,1008] " , " (2.28333,2.08333) [2,4] " , " (1.03571,1.25) [1,2] " , " (8.5,9) [8,9] " , " (2,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (128.962,142.478) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
8 , 66 , 96 , 125 , 122 , 151 , 137 , 192 , 272 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1,1) [1,2] " , " (3.5,3.75) [3,4] " , " (703.9,688.2) [42000,72800] " , " (1.90333,2.51667) [1,3] " , " (232.075,243.675) [50,455] " , " (1,1.66667) [1,2] " , " (2332.01,3287.96) [1000,4000] " , " (2.2,2.3) [0,7] " , " (2159.46,2185.81) [2000,2350] " , " (1.6,1.6) [1,2] " , " (26.9273,27.2194) [15,30] " , " (10.97,9.80333) [616,1008] " , " (2.16,2.01294) [2,4] " , " (1.66,1.66) [1,2] " , " (8.4,8.4) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (184.927,196.866) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
9 , 20 , 84 , 133 , 127 , 181 , 175 , 227 , 246 , " (0,0) [0,1] " , " (3.46667,3.13333) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1168.58,1040.18) [42000,72800] " , " (1.83333,2.36667) [1,3] " , " (225.835,173.085) [50,455] " , " (1.5,1.5) [1,2] " , " (3408.6,3580.72) [1000,4000] " , " (5.7,3.4) [0,7] " , " (2239.18,2232.33) [2000,2350] " , " (1.66667,1) [1,2] " , " (24.75,27.135) [15,30] " , " (10.5667,12.4) [616,1008] " , " (2.66667,3.66667) [2,4] " , " (1.5,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (95.3517,92.4817) [8400,44800] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
10 , 11 , 107 , 130 , 128 , 151 , 185 , 214 , 284 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.75,3.95) [3,4] " , " (857.667,840.9) [42000,72800] " , " (1.45333,2.18333) [1,3] " , " (440.342,453.675) [50,455] " , " (2,2) [1,2] " , " (2366.27,2566.86) [1000,4000] " , " (3.7,3.84) [0,7] " , " (2102.74,2014.27) [2000,2350] " , " (1.33333,1) [1,2] " , " (29.0383,22.9745) [15,30] " , " (12.4933,10.2267) [616,1008] " , " (3.5,3.6) [2,4] " , " (1.75,1.03571) [1,2] " , " (8.5,8.5) [8,9] " , " (1.05,1.05) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (152.353,176.615) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
11 , 57 , 99 , 117 , 134 , 149 , 156 , 192 , 260 , " (0,0) [0,1] " , " (3,3.66667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.3,3.5) [3,4] " , " (755.943,891.8) [42000,72800] " , " (2.30833,2.76667) [1,3] " , " (318.243,282.3) [50,455] " , " (1.71429,2) [1,2] " , " (2065.25,1796.02) [1000,4000] " , " (2.84,2.8) [0,7] " , " (2123.92,2176.73) [2000,2350] " , " (1.6,1.6) [1,2] " , " (24.2615,27.2857) [15,30] " , " (12.0619,11.5833) [616,1008] " , " (3.11905,3.61905) [2,4] " , " (1,1) [1,2] " , " (8.5,8.5) [8,9] " , " (1.4,1.4) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (231.507,339.115) [8400,44800] " , " (1.5,1) [1,2] " , " (1,1) [1,2] "
