DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 18 , 112 , 129 , 153 , 211 , 291 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.91667) [3,4] " , " (745.957) [42000,72800] " , " (2.81) [1,3] " , " (159.958) [50,455] " , " (2) [1,2] " , " (3216.64) [1000,4000] " , " (6.73333) [0,7] " , " (2211.42) [2000,2350] " , " (1.6) [1,2] " , " (23.6657) [15,30] " , " (14) [616,1008] " , " (2) [2,4] " , " (1.07143) [1,2] " , " (8.6) [8,9] " , " (1.45) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (182.97) [8400,44800] " , " (2) [1,2] " , " (1.66667) [1,2] "
2 , 78 , 103 , 130 , 175 , 235 , 286 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1) [1,2] " , " (3.5) [3,4] " , " (906.917) [42000,72800] " , " (2.11667) [1,3] " , " (186.967) [50,455] " , " (1.5) [1,2] " , " (3351.1) [1000,4000] " , " (2.5) [0,7] " , " (2055.62) [2000,2350] " , " (1) [1,2] " , " (22.8152) [15,30] " , " (10.2833) [616,1008] " , " (2.29314) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (101.182) [8400,44800] " , " (1) [1,2] " , " (2) [1,2] "
3 , 66 , 92 , 123 , 151 , 192 , 248 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1) [1,2] " , " (3.11667) [3,4] " , " (961.11) [42000,72800] " , " (2.17) [1,3] " , " (335.962) [50,455] " , " (2) [1,2] " , " (2643.2) [1000,4000] " , " (6.8) [0,7] " , " (2194.03) [2000,2350] " , " (2) [1,2] " , " (25.8323) [15,30] " , " (12.91) [616,1008] " , " (2.32667) [2,4] " , " (1.66) [1,2] " , " (8.15) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (126.985) [8400,44800] " , " (2) [1,2] " , " (1.7) [1,2] "
4 , 11 , 107 , 129 , 184 , 188 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (821.6) [42000,72800] " , " (1.35) [1,3] " , " (438.525) [50,455] " , " (2) [1,2] " , " (3010.18) [1000,4000] " , " (3) [0,7] " , " (2031.6) [2000,2350] " , " (1.66667) [1,2] " , " (20.7467) [15,30] " , " (11.3333) [616,1008] " , " (2.7) [2,4] " , " (1.25) [1,2] " , " (8.5) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (82.33) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
5 , 11 , 107 , 121 , 184 , 210 , 276 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.14286) [1,2] " , " (3.16667) [3,4] " , " (893.275) [42000,72800] " , " (2.91667) [1,3] " , " (446.242) [50,455] " , " (2) [1,2] " , " (2285.12) [1000,4000] " , " (3.97143) [0,7] " , " (2067.44) [2000,2350] " , " (1.33333) [1,2] " , " (29.9354) [15,30] " , " (11.65) [616,1008] " , " (3.17339) [2,4] " , " (1.32143) [1,2] " , " (8.25) [8,9] " , " (1.55) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (158.554) [8400,44800] " , " (1.33333) [1,2] " , " (1.5) [1,2] "
6 , 66 , 113 , 120 , 151 , 235 , 285 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1.66667) [1,2] " , " (3.35) [3,4] " , " (801.438) [42000,72800] " , " (2.44667) [1,3] " , " (258.01) [50,455] " , " (2) [1,2] " , " (2884.7) [1000,4000] " , " (2.57) [0,7] " , " (2238.71) [2000,2350] " , " (1) [1,2] " , " (25.8237) [15,30] " , " (12.5743) [616,1008] " , " (2.49333) [2,4] " , " (1.66) [1,2] " , " (8.22333) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (108.695) [8400,44800] " , " (2) [1,2] " , " (1.85) [1,2] "
7 , 4 , 95 , 117 , 175 , 227 , 286 , " (0) [0,1] " , " (3) [3,4] " , " (1.66667) [1,2] " , " (3.9) [3,4] " , " (734.283) [42000,72800] " , " (2.43333) [1,3] " , " (266.733) [50,455] " , " (1.5) [1,2] " , " (3156.8) [1000,4000] " , " (5.42) [0,7] " , " (2180.33) [2000,2350] " , " (1.33333) [1,2] " , " (27.635) [15,30] " , " (12.15) [616,1008] " , " (2.66667) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (134.542) [8400,44800] " , " (1.25) [1,2] " , " (2) [1,2] "
8 , 11 , 107 , 119 , 180 , 218 , 247 , " (1) [0,1] " , " (3.21667) [3,4] " , " (1.33333) [1,2] " , " (3.43333) [3,4] " , " (874.375) [42000,72800] " , " (1.28333) [1,3] " , " (416.475) [50,455] " , " (1.5) [1,2] " , " (2467.6) [1000,4000] " , " (5.77) [0,7] " , " (2012.13) [2000,2350] " , " (1) [1,2] " , " (21.2783) [15,30] " , " (9.90167) [616,1008] " , " (2.75) [2,4] " , " (1.25) [1,2] " , " (8.9) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (64.3333) [8400,44800] " , " (1) [1,2] " , " (1.75) [1,2] "
9 , 17 , 100 , 133 , 156 , 235 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.95) [3,4] " , " (877.767) [42000,72800] " , " (2.44167) [1,3] " , " (424.892) [50,455] " , " (2) [1,2] " , " (3190.4) [1000,4000] " , " (3.46) [0,7] " , " (2220.98) [2000,2350] " , " (2) [1,2] " , " (23.9246) [15,30] " , " (9.63333) [616,1008] " , " (3.43627) [2,4] " , " (1) [1,2] " , " (8.5) [8,9] " , " (1.25) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (231.271) [8400,44800] " , " (1) [1,2] " , " (1.5) [1,2] "
10 , 11 , 112 , 130 , 153 , 231 , 255 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.61667) [3,4] " , " (578.433) [42000,72800] " , " (2.23333) [1,3] " , " (429.892) [50,455] " , " (2) [1,2] " , " (3212.27) [1000,4000] " , " (6.64333) [0,7] " , " (2074.3) [2000,2350] " , " (1.93333) [1,2] " , " (22.5607) [15,30] " , " (11.4333) [616,1008] " , " (2.5) [2,4] " , " (1.32143) [1,2] " , " (8.13333) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (167.813) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
