DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , COMIDA_ENTRADA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 18 , 113 , 121 , 153 , 207 , 283 , 121 , " (0,0) [0,1] " , " (3.06667,3.06667) [3,4] " , " (1.83333,1.83333) [1,2] " , " (3.75,3.75) [3,4] " , " (954.107,954.107) [42000,72800] " , " (1.78333,1.78333) [1,3] " , " (188.418,188.418) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2869.85,2869.85) [1000,4000] " , " (4.85,4.85) [0,7] " , " (2164.35,2164.35) [2000,2350] " , " (1,1) [1,2] " , " (25.4517,25.4517) [15,30] " , " (15.6727,15.6727) [616,1008] " , " (2.33333,2.33333) [2,4] " , " (1.14286,1.14286) [1,2] " , " (8.84,8.84) [8,9] " , " (1.75,1.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (137.285,137.285) [8400,44800] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
2 , 78 , 81 , 130 , 137 , 214 , 286 , 130 , " (0,0) [0,1] " , " (3,3) [3,4] " , " (1.5,1.5) [1,2] " , " (3.75,3.75) [3,4] " , " (678.117,678.117) [42000,72800] " , " (2.95,2.95) [1,3] " , " (299.592,299.592) [50,455] " , " (2,2) [1,2] " , " (3226.59,3226.59) [1000,4000] " , " (4.7,4.7) [0,7] " , " (2151.55,2151.55) [2000,2350] " , " (1,1) [1,2] " , " (23.2623,23.2623) [15,30] " , " (8.17333,8.17333) [616,1008] " , " (2.64608,2.64608) [2,4] " , " (1,1) [1,2] " , " (8.2,8.2) [8,9] " , " (1.25,1.25) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (116.751,116.751) [8400,44800] " , " (2,2) [1,2] " , " (2,2) [1,2] "
3 , 57 , 99 , 133 , 156 , 192 , 260 , 132 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.5,3.5) [3,4] " , " (891.8,888.8) [42000,72800] " , " (2.66667,2.56667) [1,3] " , " (282.3,282.3) [50,455] " , " (2,2) [1,2] " , " (2028.42,1798.6) [1000,4000] " , " (2.8,2.8) [0,7] " , " (2173.83,2175.31) [2000,2350] " , " (1.6,1.6) [1,2] " , " (27.1157,28.9686) [15,30] " , " (11.5833,11.6833) [616,1008] " , " (3.61905,3.61905) [2,4] " , " (1,1.28571) [1,2] " , " (8.5,8) [8,9] " , " (1.4,1.4) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (329.765,324.795) [8400,44800] " , " (1,1) [1,2] " , " (1,1) [1,2] "
4 , 11 , 107 , 121 , 184 , 218 , 276 , 119 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1.33333) [1,2] " , " (3.5,3.5) [3,4] " , " (819.55,822.925) [42000,72800] " , " (2.91667,2.66667) [1,3] " , " (429.992,449.492) [50,455] " , " (2,2) [1,2] " , " (2396.27,2501.12) [1000,4000] " , " (4.7,5.4) [0,7] " , " (2076.21,2106.09) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (26.179,23.2848) [15,30] " , " (10.925,11.15) [616,1008] " , " (3.27143,3.27143) [2,4] " , " (1.32143,1.25) [1,2] " , " (9,9) [8,9] " , " (1.05,1.05) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (129.908,123.748) [8400,44800] " , " (1.58333,1.58333) [1,2] " , " (1.5,1.75) [1,2] "
5 , 18 , 92 , 132 , 137 , 214 , 260 , 131 , " (0,0) [0,1] " , " (3,3) [3,4] " , " (2,2) [1,2] " , " (3.6,3.6) [3,4] " , " (925.467,952.767) [42000,72800] " , " (2.06667,1.79333) [1,3] " , " (243.878,243.878) [50,455] " , " (2,2) [1,2] " , " (2024.51,2254.42) [1000,4000] " , " (4.88,4.88) [0,7] " , " (2171.46,2181.24) [2000,2350] " , " (1,1) [1,2] " , " (26.8599,28.3404) [15,30] " , " (11.25,11.35) [616,1008] " , " (2.35294,2.35294) [2,4] " , " (1.28571,1.5) [1,2] " , " (8.55,8.55) [8,9] " , " (1.75,1.75) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (150.144,144.196) [8400,44800] " , " (2,2) [1,2] " , " (1.86667,1.86667) [1,2] "
6 , 57 , 99 , 132 , 156 , 192 , 260 , 133 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.5,3.5) [3,4] " , " (888.8,891.8) [42000,72800] " , " (2.56667,2.66667) [1,3] " , " (282.3,282.3) [50,455] " , " (2,2) [1,2] " , " (1798.6,2028.42) [1000,4000] " , " (2.8,2.8) [0,7] " , " (2175.31,2173.83) [2000,2350] " , " (1.6,1.6) [1,2] " , " (28.9686,27.1157) [15,30] " , " (11.6833,11.5833) [616,1008] " , " (3.61905,3.61905) [2,4] " , " (1.28571,1) [1,2] " , " (8,8.5) [8,9] " , " (1.4,1.4) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (324.795,329.765) [8400,44800] " , " (1,1) [1,2] " , " (1,1) [1,2] "
7 , 25 , 84 , 119 , 175 , 217 , 246 , 130 , " (0,0) [0,1] " , " (3.13333,3.13333) [3,4] " , " (1.66667,1.33333) [1,2] " , " (3.66667,3.66667) [3,4] " , " (858.208,863.7) [42000,72800] " , " (2.35,2.45) [1,3] " , " (451.46,441.427) [50,455] " , " (1.5,1.5) [1,2] " , " (3895.11,3873.32) [1000,4000] " , " (4.31667,3.61667) [0,7] " , " (2245.15,2214.12) [2000,2350] " , " (1.66667,2) [1,2] " , " (28.5917,25.3017) [15,30] " , " (14.0383,14.78) [616,1008] " , " (3.68333,3.68333) [2,4] " , " (2,1.5) [1,2] " , " (8.25,8.75) [8,9] " , " (1.1,1.1) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (88.3017,111.582) [8400,44800] " , " (1.5,1.5) [1,2] " , " (1.85,1.6) [1,2] "
8 , 72 , 86 , 124 , 180 , 192 , 294 , 128 , " (1,1) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.9,3.9) [3,4] " , " (782.38,782.38) [42000,72800] " , " (2.75,2.35) [1,3] " , " (226.225,226.225) [50,455] " , " (1.5,1.5) [1,2] " , " (2865.63,2887.01) [1000,4000] " , " (5.22,5.22) [0,7] " , " (2189.23,2218.42) [2000,2350] " , " (2,2) [1,2] " , " (25.9573,26.6502) [15,30] " , " (10.405,10.405) [616,1008] " , " (2.66,2.66) [2,4] " , " (1,1.28571) [1,2] " , " (8.1,8.1) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (241.257,219.587) [8400,44800] " , " (1.25,1.25) [1,2] " , " (1,1) [1,2] "
9 , 78 , 103 , 130 , 175 , 235 , 286 , 130 , " (0,0) [0,1] " , " (3.33333,3.33333) [3,4] " , " (1,1) [1,2] " , " (3.5,3.5) [3,4] " , " (906.917,906.917) [42000,72800] " , " (2.11667,2.11667) [1,3] " , " (186.967,186.967) [50,455] " , " (1.5,1.5) [1,2] " , " (3351.1,3351.1) [1000,4000] " , " (2.5,2.5) [0,7] " , " (2055.62,2055.62) [2000,2350] " , " (1,1) [1,2] " , " (22.8152,22.8152) [15,30] " , " (10.2833,10.2833) [616,1008] " , " (2.29314,2.29314) [2,4] " , " (1.5,1.5) [1,2] " , " (9,9) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (101.182,101.182) [8400,44800] " , " (1,1) [1,2] " , " (2,2) [1,2] "
10 , 18 , 99 , 118 , 156 , 218 , 246 , 132 , " (0,0) [0,1] " , " (3.46667,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.5,3.5) [3,4] " , " (990.057,987.957) [42000,72800] " , " (2.91667,2.91667) [1,3] " , " (155.135,155.135) [50,455] " , " (2,2) [1,2] " , " (2160.03,1929.42) [1000,4000] " , " (4.9,4.9) [0,7] " , " (2228.85,2229.14) [2000,2350] " , " (1.6,1.6) [1,2] " , " (28.3433,29.7462) [15,30] " , " (10.995,10.695) [616,1008] " , " (3,3) [2,4] " , " (1,1.28571) [1,2] " , " (8.8,8.3) [8,9] " , " (1.85,1.85) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (260.572,250.342) [8400,44800] " , " (1.25,1.25) [1,2] " , " (1.76667,1.76667) [1,2] "
