DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 38 , 87 , 122 , 118 , 168 , 181 , 200 , 256 , " (0,0) [0,1] " , " (2.71667,2.71667) [3,4] " , " (2,2) [1,2] " , " (1.8,2.7) [3,4] " , " (631.21,777.96) [42000,72800] " , " (3.65,2.86667) [1,3] " , " (153.9,140.75) [50,455] " , " (4.66667,2.5) [1,2] " , " (2695.01,1861.81) [1000,4000] " , " (2.38,5.04) [0,7] " , " (2296.72,2143.07) [2000,2350] " , " (2.06667,2.73333) [1,2] " , " (44.2367,37.6167) [15,30] " , " (15.3333,16.3167) [616,1008] " , " (3.45,3.45) [2,4] " , " (2,1) [1,2] " , " (14.7,14.7) [8,9] " , " (0,0) [1,2] " , " (0.666667,0.666667) [2,3] " , " (0,0) [0,1] " , " (186.482,201.872) [8400,44800] " , " (0.25,0.25) [1,2] " , " (0,0) [1,2] "
2 , 42 , 102 , 129 , 121 , 148 , 142 , 202 , 287 , " (1,1) [0,1] " , " (1.33333,1.33333) [3,4] " , " (1,1) [1,2] " , " (6.43333,3.26667) [3,4] " , " (583.63,653.05) [42000,72800] " , " (5.37667,4.91) [1,3] " , " (288.218,218.442) [50,455] " , " (5,5) [1,2] " , " (3242.44,3105.77) [1000,4000] " , " (7.32,3.27) [0,7] " , " (2255.86,2151.35) [2000,2350] " , " (1.46667,0.666667) [1,2] " , " (22.9975,32.101) [15,30] " , " (12.0467,12.5667) [616,1008] " , " (2.625,2.7) [2,4] " , " (0.5,1.57143) [1,2] " , " (10.75,11.5) [8,9] " , " (0.95,0.95) [1,2] " , " (0,0) [2,3] " , " (0,0) [0,1] " , " (207.528,191.388) [8400,44800] " , " (4.25,4) [1,2] " , " (0.1,0) [1,2] "
3 , 20 , 89 , 124 , 117 , 152 , 165 , 199 , 293 , " (0,0) [0,1] " , " (2.16667,2.16667) [3,4] " , " (2.90476,3.83333) [1,2] " , " (3.91667,5.05) [3,4] " , " (760.42,724.077) [42000,72800] " , " (4.90833,3.90833) [1,3] " , " (199.158,244.592) [50,455] " , " (0,3) [1,2] " , " (2586.92,2435.55) [1000,4000] " , " (11.7857,10.94) [0,7] " , " (2156,2293.04) [2000,2350] " , " (1.83333,1.16667) [1,2] " , " (44.6892,41.4092) [15,30] " , " (14.11,12.1005) [616,1008] " , " (2.5,2.16667) [2,4] " , " (3,3) [1,2] " , " (9.3,9.8) [8,9] " , " (0.75,0.75) [1,2] " , " (0,0) [2,3] " , " (0,0) [0,1] " , " (224.782,165.63) [8400,44800] " , " (2.5,1.5) [1,2] " , " (1.66667,1.95238) [1,2] "
4 , 46 , 93 , 127 , 135 , 148 , 147 , 234 , 263 , " (0,0) [0,1] " , " (3.16667,3.33333) [3,4] " , " (2,2) [1,2] " , " (3.83333,2.75) [3,4] " , " (1552.73,1676.76) [42000,72800] " , " (7.725,6.325) [1,3] " , " (266.762,219.443) [50,455] " , " (3,2) [1,2] " , " (3073.38,3562.83) [1000,4000] " , " (6.85,8.35) [0,7] " , " (2341.11,2195.96) [2000,2350] " , " (3.46667,2.66667) [1,2] " , " (32.25,30.3625) [15,30] " , " (7.71833,9.33833) [616,1008] " , " (5.25,5.575) [2,4] " , " (1,1) [1,2] " , " (5.25,6.5) [8,9] " , " (1.55,1.6) [1,2] " , " (0,0) [2,3] " , " (0,0) [0,1] " , " (228.978,204.685) [8400,44800] " , " (3.5,3.25) [1,2] " , " (0.2,0.1) [1,2] "
5 , 43 , 81 , 135 , 128 , 160 , 137 , 214 , 267 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1.5,1.5) [1,2] " , " (7.41667,6) [3,4] " , " (923.167,921.667) [42000,72800] " , " (3.41667,2.73333) [1,3] " , " (248.725,247.158) [50,455] " , " (5.33333,3.33333) [1,2] " , " (2460.04,2721.29) [1000,4000] " , " (10.5,5.7) [0,7] " , " (2097.56,2154.42) [2000,2350] " , " (1.16667,1.16667) [1,2] " , " (17.5489,25.0722) [15,30] " , " (9.07333,8.97333) [616,1008] " , " (3.77941,3.88235) [2,4] " , " (0,1.28571) [1,2] " , " (8.7,8.2) [8,9] " , " (1.25,1.25) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (269.238,257.549) [8400,44800] " , " (0.5,2.5) [1,2] " , " (0,0) [1,2] "
6 , 38 , 104 , 131 , 118 , 148 , 153 , 219 , 239 , " (0,0) [0,1] " , " (1.16667,1.16667) [3,4] " , " (2,3.33333) [1,2] " , " (8.5,6.33333) [3,4] " , " (602.68,696) [42000,72800] " , " (4.34333,3.31667) [1,3] " , " (277.73,187.253) [50,455] " , " (6,3) [1,2] " , " (2636.7,2448.26) [1000,4000] " , " (16.45,15.6) [0,7] " , " (2324.43,2280.19) [2000,2350] " , " (1.13333,0.333333) [1,2] " , " (36.3842,36.7624) [15,30] " , " (9.50667,12.1267) [616,1008] " , " (5.125,5.5) [2,4] " , " (1.5,1.57143) [1,2] " , " (10.25,13) [8,9] " , " (0.2,0.2) [1,2] " , " (0.666667,0.666667) [2,3] " , " (0,0) [0,1] " , " (191.549,226.517) [8400,44800] " , " (0.25,0) [1,2] " , " (0.3,0.2) [1,2] "
7 , 52 , 80 , 123 , 120 , 178 , 169 , 225 , 266 , " (0,0) [0,1] " , " (2.16667,2.16667) [3,4] " , " (0,0) [1,2] " , " (11.95,10.0333) [3,4] " , " (724.798,713.761) [42000,72800] " , " (4.08333,4.99333) [1,3] " , " (254.076,245.499) [50,455] " , " (3.4,1.56667) [1,2] " , " (2384.06,2321.42) [1000,4000] " , " (22.22,17.07) [0,7] " , " (2238.48,2185.05) [2000,2350] " , " (0,0) [1,2] " , " (26.8571,29.8352) [15,30] " , " (11.214,11.8847) [616,1008] " , " (3.11961,3.45784) [2,4] " , " (0,0) [1,2] " , " (11.54,10.8833) [8,9] " , " (0.25,0.25) [1,2] " , " (2.5,2.5) [2,3] " , " (0,0) [0,1] " , " (261.669,331.656) [8400,44800] " , " (2.25,4.25) [1,2] " , " (0.31,0.21) [1,2] "
8 , 40 , 90 , 132 , 133 , 164 , 187 , 232 , 260 , " (2,0) [0,1] " , " (1.66667,1.66667) [3,4] " , " (2,2) [1,2] " , " (4,4.66667) [3,4] " , " (1062.55,1143.63) [42000,72800] " , " (2.14167,3.58333) [1,3] " , " (205.875,216.772) [50,455] " , " (2,5) [1,2] " , " (1658.19,1992.27) [1000,4000] " , " (5.6,7.21) [0,7] " , " (2378.92,2313.67) [2000,2350] " , " (0,0) [1,2] " , " (32.5512,34.01) [15,30] " , " (9.575,10.715) [616,1008] " , " (4,3.33333) [2,4] " , " (1.78571,1.5) [1,2] " , " (11,12.1) [8,9] " , " (1.75,1.95) [1,2] " , " (1.2,1.2) [2,3] " , " (0,0) [0,1] " , " (116.287,175.572) [8400,44800] " , " (2.75,0.75) [1,2] " , " (0,0) [1,2] "
9 , 45 , 90 , 121 , 135 , 157 , 155 , 200 , 244 , " (0,0) [0,1] " , " (2.5,2.5) [3,4] " , " (1,1) [1,2] " , " (5.45,5.61667) [3,4] " , " (285.43,280.65) [42000,72800] " , " (6.13333,6.15) [1,3] " , " (169.51,211.967) [50,455] " , " (7,4) [1,2] " , " (2178.99,2233.11) [1000,4000] " , " (3.06,7.36) [0,7] " , " (2000.09,1951.15) [2000,2350] " , " (0.666667,0.666667) [1,2] " , " (30.3176,26.8267) [15,30] " , " (8.24667,8.11667) [616,1008] " , " (3.4,3.15) [2,4] " , " (0.571429,0) [1,2] " , " (12.75,12.5) [8,9] " , " (0,0) [1,2] " , " (0,0) [2,3] " , " (0,0) [0,1] " , " (164.367,319.363) [8400,44800] " , " (0,3) [1,2] " , " (0.1,0) [1,2] "
10 , 29 , 96 , 135 , 125 , 158 , 180 , 228 , 248 , " (0,1) [0,1] " , " (1.21667,1.21667) [3,4] " , " (1,1) [1,2] " , " (2.76667,3.1) [3,4] " , " (776.5,848.05) [42000,72800] " , " (2.15,1.66667) [1,3] " , " (432.932,410.715) [50,455] " , " (4.6,3.1) [1,2] " , " (3530.88,3073.54) [1000,4000] " , " (5.37,3.57) [0,7] " , " (1989.13,2047.18) [2000,2350] " , " (1,1) [1,2] " , " (32.4325,26.8058) [15,30] " , " (31.23,30.255) [616,1008] " , " (3.79167,3.125) [2,4] " , " (1.5,1.5) [1,2] " , " (9.5,10.5) [8,9] " , " (0.75,0.75) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (162.902,157.227) [8400,44800] " , " (0,0.25) [1,2] " , " (1.5,1.5) [1,2] "
